title,description,ingredients,steps
Falafels with tahini dressing,"This falafel recipe by Dale Pinnock combines anti-viral garlic and zinc-packed chickpeas, making it good for boosting immune health. Serve as part of a colourful mezze platter.","['2 x 400g tins chickpeas, drained and rinsed', '4 garlic cloves, crushed', '½ small bunch fresh flatleaf parsley', '2 tsp ground cumin', '1 tsp ground coriander', '1 red onion, very finely chopped', '2 free-range eggs, lightly beaten', '2 tbsp wholemeal flour', '2 tbsp olive oil, plus extra for frying', '3 tbsp tahini', 'Juice 1 lemon', 'Herby quinoa to serve']","['Put the chickpeas, half the garlic, the parsley, cumin and coriander in a food processor and whizz to a paste. Transfer to a bowl, add the onion, eggs and flour, then season with salt and pepper and mix well to form a stiff mixture.', 'Heat the oven to 200°C/fan180°C/gas 6 and line a baking sheet with baking paper. Shape the falafel mixture into small patties. In batches, shallow-fry the falafels in a little olive oil for 2-3 minutes on each side until starting to turn crispy. Transfer to the baking sheet, then bake for 10-12 minutes.', 'Meanwhile, make the dressing by whisking together the 2 tbsp olive oil, tahini, remaining garlic and lemon juice. Serve the falafels with the tahini dressing and some cooked herby quinoa on the side.']"
"Giant couscous with spiced lamb, feta and almonds","This Moroccan-inspired dish of lamb, feta and couscous is an impressive-looking dish – better yet it’s on the table in 10 minutes.","['250g giant couscous', '4 British lamb leg steaks (about 150g each)', '2 tbsp olive oil', '2 tsp baharat spice blend (we like Bart, from Tesco and Waitrose)', 'Juice 1 lemon', 'Extra-virgin olive oil', '75g blanched almonds', '100g feta', '100g watercress', '50g pomegranate seeds']","['Bring a medium pan of salted water to the boil, add the couscous and simmer for about 5-6 minutes.', 'Meanwhile, rub the lamb with 2 tbsp olive oil and the spice blend, then season. Put a frying pan over a high heat, then fry the lamb for 2-3 minutes on each side. Set aside to rest.', 'Drain the couscous and tip into a bowl. Add the lemon juice and a drizzle of extra-virgin olive oil. Slice the lamb, then add to the bowl. Chop and add the almonds, crumble in the feta and toss in the watercress. Serve scattered with the pomegranate seeds.']"
Moroccan roasted vegetables with couscous,"This healthy Moroccan-style meal that puts parsnips, carrots and cauliflower centre stage is the perfect antidote to Christmas excess. Or, try this root vegetable and lentil tagine for an easy, healthy – and vegan – family dinner.","['2 parsnips (about 200g), peeled and quartered', '400g mixed heritage or chantenay carrots, trimmed (quartered if large)', '1 small or ½ large cauliflower (about 500g), cut into florets', '4 garlic cloves, unpeeled', '2 tsp ras el hanout', '2 tbsp clear honey', '4 tbsp olive oil', '200g couscous', '250ml vegetable stock, hot', 'Juice of ½ lemon']","['Preheat the oven to 220°C/fan200°C/gas 7 and line a baking tray with baking paper. Add the vegetables and garlic, then sprinkle over the ras el hanout. Season, drizzle with honey and 2 tbsp of the olive oil, then toss to combine. Roast for 35-45 minutes, tossing occasionally, until tender and caramelised.', '10 minutes before the veg comes out of the oven, combine the couscous and 1 tbsp of the oil in a heatproof bowl, then pour over the hot stock. Cover and set aside for 5 minutes or until the liquid is absorbed. Fluff up the couscous with a fork, then season and toss through the remaining oil and the lemon juice. Divide among plates, then top with the roasted veg and garlic. Serve with a dollop of yogurt and a sprinkling of coriander leaves, if using.']"
"Lamb, date and spinach tagine","A hearty, spiced Moroccan-style stew that’s speedy enough for a midweek meal.","['1 tbsp olive oil', '2 seasoned lamb leg steaks', '1 red onion, sliced', 'A generous pinch of ras el hanout spice mix (we like Bart)', '2 garlic cloves, chopped', '400g tin chopped tomatoes', '150ml hot chicken stock', '60g dates, chopped', '200g baby spinach', 'Pared zest of 1 lemon', 'Couscous and fresh mint, to serve']","['Heat the oil in a casserole, chop the lamb leg steaks into 3-4cm chunks, then fry until browned all over. Transfer to a plate.', 'Add the red onion and ras el hanout to the casserole and fry for 3 minutes over a low-medium heat.', 'Return the lamb to the casserole along with the garlic, chopped tomatoes and chicken stock. Simmer for 10-15 minutes.', 'Stir through the dates, spinach and the lemon zest. Serve with steamed couscous topped with some finely shredded fresh mint leaves.']"
Marinated lamb cutlets with smoky chickpeas,"Make the most of some storecupboard tins, as this lamb cutlet recipe gets the Moroccan treatment with the addition of smoky chickpeas. The smokiness comes from a good dollop of chipotle paste.","['2tsp fresh thyme leaves', '1 crushed garlic clove', 'Zest and juice of ½ lemon', '30ml olive oil', '12 lamb cutlets']","['For the marinade, combine the thyme leaves, garlic, zest, lemon and olive oil. Season well.', 'Put the lamb cutlets into a bowl or roasting tray and coat with the marinade. Leave for 30 minutes, turning once to coat again in the marinade.', 'In a pan, heat chickpeas with a small splash of hot vegetable stock until tender. Drain and stir through the chipotle paste and natural yogurt. Take off the heat, then stir through the parsley. Season well.', 'Fry the lamb cutlets for 2-3 minutes on each side, in batches if need be, on a hot griddle then serve with the chickpeas.\n']"
North African chicken with honey and saffron,A fragrant Moroccan one-pot chicken recipe from Debbie Major.,"['1.75kg free-range chicken, jointed into 8 pieces (Find out how to joint a chicken here)', '3 tbsp olive oil', '1 large onion, chopped', '3 garlic cloves, crushed', '5cm fresh ginger, finely grated', '2 x 5cm cinnamon stick pieces', '1 tsp ground ginger', '800g skinned and chopped tomatoes, fresh or tinned', '1 tsp harissa paste, rose if you can get it (we like Belazu)', '300ml chicken stock (see Debbie’s tip)', '½ tsp saffron strands', '2 tbsp clear honey', '1 tbsp lemon juice', '1 tsp orange blossom water (see tip – we like Nielsen-Massey)']","['Skin the chicken pieces, then season all over. Heat 2 tbsp of the oil in a sauté pan or shallow flameproof casserole. Add the chicken and fry, turning, until browned all over. Lift onto a plate and keep warm.', 'Add the rest of the oil and the onion to the pan, then cook over a medium- high heat, stirring, for 6-7 minutes until soft and golden. Add the garlic, fresh ginger and cinnamon, then cook for 2-3 minutes more. Add the ground ginger and cook for 1 minute.', 'Stir in the tomatoes and harissa and cook gently for 5 minutes. Stir in the chicken stock, saffron and some seasoning to taste, then bring to the boil. Return the chicken to the pan, cover and simmer for 25 minutes.', 'When the chicken is cooked, lift the pieces onto a plate and cover with cling film to keep moist. Turn up the heat and bubble the sauce briskly for about 10 minutes until reduced by about half. Add the honey, simmer for 2 minutes more, then stir in the lemon juice and orange blossom water. Taste and season.', 'Meanwhile, for the couscous, melt the 25g butter in a small frying pan, add the almonds and fry gently, stirring all the time, until golden. Tip onto kitchen paper and leave to cool. Toast the sesame seeds in a clean dry pan over a medium-high heat, shaking now and then, until golden. Tip onto a saucer to cool.', 'Return the chicken to the pan, coat the pieces in the sauce, then cover and simmer for 5 minutes until heated through.', 'Put the couscous and salt in a heatproof bowl, pour over 300ml boiling water, cover with a clean tea towel and leave for 5 minutes. Uncover and fluff with a fork, then stir in the 25g melted butter, olive oil, lemon zest, lemon juice to taste, preserved lemon skin, three quarters of the fried almonds, 2 tbsp of the sesame seeds and three quarters of the herbs. Taste and season.', 'Scatter the chicken with the rest of the almonds, sesame seeds and herbs. Serve with the couscous.']"
North African-style mint tea,Traditional North African mint tea should be served very sweet. This recipe uses fresh mint and serves 4 and is ready in 10 minutes.,"['4 heaped tsp gunpowder tea (see tip)', 'bunch of fresh mint', '4 tsp caster sugar']","['Heat the kettle until nearly boiling (tea should not be scalded).', 'In a teapot, add water to 4 heaped tsp gunpowder tea (see tip) with a bunch of fresh mint and 4 tsp caster sugar. Leave to brew for 2-3 minutes. To serve, stuff an extra mint sprig into each glass, then pour over the tea.']"
Homemade harissa,Homemade harissa is much better than the shop bought stuff. This spicy chilli paste will last for up to two weeks in the fridge.,"['12 fresh red finger-length chillies', '1½ tsp coriander seeds', '½ tsp cumin seeds', '½ tsp caraway seeds', '4 fat garlic cloves (central core removed if necessary – see tip), roughly chopped', '½ tsp sea salt flakes', '2 tsp tomato purée', '2½ tsp lemon juice', '1 tbsp light olive oil', '7 drops rosewater (optional)']","['Cook the chillies on the barbecue for 10 minutes, turning, until the skins blacken and the flesh is tender. Transfer to a plastic food bag to steam and cool.', 'Remove the stalk and peel the chillies (rubber gloves might be wise). Split lengthways, scrape out the seeds with a knife and discard. Don’t rinse the chillies – you’ll lose the smoky flavour. Set aside.', 'Toast the coriander, cumin and caraway seeds over the heat in a dry frying pan until fragrant, making sure they don’t burn, then work to a fine powder in a pestle and mortar or spice grinder. Add the chillies, garlic and salt, then grind to a fine paste. Stir in the remaining ingredients, then set aside for at least 1 hour before using (see tip).']"
Fish tagine,Brighten up your week with this warming recipe of spiced Moroccan fish stew. Perfect for a casual dinner party without the fuss…or the washing up!,"['2 Waitrose Frozen Line Caught Haddock Fillets (about 250g), or other sustainably caught white fish', '3 tsp baharat (Middle Eastern spice mix – we like Bart)', 'Pinch of saffron threads', '2 tbsp extra-virgin olive oil', '1 onion, finely sliced', 'Large handful of fresh coriander, leaves left whole and stalks roughly chopped', '2 garlic cloves, crushed', '80g Waitrose Organic Love Life Prunes, or similar soft, ready-to-eat prunes', '400g tin whole tomatoes']","['Sprinkle the frozen fish fillets with 1 tsp baharat. In a small bowl, steep the saffron in 2 tbsp hot water for 5 minutes.', 'Meanwhile, heat the oil in a pan over a medium-high heat, add the onion and gently cook for a few minutes until translucent. Add the coriander stalks, garlic and remaining baharat and cook, stirring, for 30 seconds. Add the saffron and its water along with the prunes and tomatoes. Half-fill the tomato tin with water and add that too.', 'Bring to a simmer, then cook over a medium heat for 10 minutes. When the sauce is thick and sweet, add the fish. Cover and cook for 10-15 minutes until the fish is just done. Remove from the heat, then gently break up the fillets with a fork. Roughly chop the coriander leaves and scatter over. Serve with crusty bread or couscous.']"
Spiced lamb chops and herby quinoa,This clever spicy lamb and herby quinoa recipe uses time-saving products to make midweek cooking quick and easy. Eat it for dinner or pack it up in a tupperware for a lunch less ordinary.,"['1-2 tbsp (depending how hot you like it) Bart Berbere spice mix', '4 tbsp olive oil', '4 organic lamb cutlets or chops (from most supermarkets or butchers)', '225g pack Food Doctor Easy Grains Organic Quinoa (from Waitrose, Tesco and thefooddoctor.com), or similar', 'Small bunch each of fresh parsley, mint and coriander, chopped', 'Small handful each of toasted pine nuts and pomegranate seeds']","['Preheat the oven to 180°C/fan160°C/gas 4. In a bowl, combine the spice mix and 2 tbsp of the oil. Rub all over the lamb, then set aside to marinate for at least 10 minutes.', 'Heat 1 tbsp of the oil in a non-stick frying pan over a high heat and sear the lamb on both sides for 2 minutes or until golden all over.', 'Transfer to a baking sheet and bake for 8-10 minutes (for slightly pink meat), remove and rest for 5 minutes before serving.', 'Meanwhile, add the quinoa to the frying pan with the remaining 1 tbsp oil and cook for a few minutes to heat through and absorb the lamb juices.', 'Transfer to a dish and stir through the herbs, pine nuts and pomegranate seeds. Season and serve with the lamb, plus any resting juices.']"
Harissa chicken with couscous,"This one pan harissa chicken dish is exciting and bursting with flavours, and it’ll take you less than half an hour to make. Wondering what to do with the remaining harissa? We’ve got some nifty ways to use up leftover harissa, here.","['250g couscous', '400ml fresh chicken stock', 'Grated zest and juice of 1 lemon', '2 chicken breasts', '1 tbsp harissa', '1 tbsp olive oil', 'Knob of butter', '1 onion, thinly sliced', '½-1 tsp chilli flakes', '50g sultanas', '50g nuts, such as skin-on almonds, toasted and chopped', '½ small bunch of fresh curly parsley, chopped']","['Place the couscous in a shallow bowl and pour over the hot stock and the lemon juice. Stir, cover, then set aside. Remove (and discard) the skin from the chicken breasts, place the meat between 2 sheets of cling film and flatten by bashing with a rolling pin. Remove the chicken from the cling film, then brush all over with the harissa and season.', 'Heat the oil in a pan and fry the chicken for 2 minutes on each side until golden and cooked through. Set aside to rest, covered in foil. Add a knob of butter to the pan, then the onion and soften for 5 minutes, stirring occasionally. Add the chilli flakes, then cook for 2 minutes more.', 'Fluff up the couscous with a fork, then stir in the buttery onion mixture, along with the lemon zest, sultanas, nuts and parsley. Taste and season, if necessary. Slice the chicken, then serve on top of the couscous.']"
Yogurt lamb with couscous,"Serve this griddled Moroccan-style yogurt lamb with couscous, which has a sprinkling of pomegranates for sweetness. It’s a great midweek meal.","['4 lamb leg steaks', '100g Greek yogurt', '1 garlic clove, crushed', '1 tsp ground cumin', 'Pinch of cayenne pepper', '2 tbsp extra-virgin olive oil', '200g couscous', '300ml chicken stock, hot', 'Seeds of 1 pomegranate', 'Handful of fresh parsley, chopped', 'Handful of fresh mint leaves, chopped', 'Juice of 1 small lemon, plus wedges']","['Put the lamb in a bowl with the yogurt, garlic, cumin, cayenne and half the oil. Season, mix and set aside.', 'Put a griddle (or frying) pan over a high heat until smoking hot. Griddle the lamb for 4-5 minutes on each side until cooked but still slightly pink in the centre. Set aside to rest for a minute.', 'Put the couscous in a bowl, pour over the hot stock and remaining oil, then stir. Cover with cling film, then stand for 5 minutes. Fluff up with a fork, then stir in the remaining ingredients. Season and serve topped with lamb slices and lemon wedges.']"
Chicken tagine with figs and fruity couscous,"Tagine is a Moroccan classic, save time and effort with our simple chicken tagine recipe, spruced up with figs and fruity couscous.","['1 tbsp olive oil', '2 medium onions, finely sliced', '2 garlic cloves, crushed', '6 free-range boneless, skinless chicken thighs, cut into thirds', '2 tsp ras-el-hanout (such as Bart)', '2 x 400g tins whole tomatoes', '250g packet whole, soft dried figs', 'Pinch each of saffron and ground cinnamon', '110g flavoured quick-cook couscous (such as Ainsley Harriott)']","['Heat the oil in a flameproof casserole, then add the onions, garlic and a little salt. Fry gently for 10 minutes until soft. Remove from the casserole, turn up the heat, then add the chicken and cook, turning, for 2 minutes until golden all over.', 'Return the onions and garlic to the casserole with the remaining ingredients (except the couscous) and a splash of water. Cover and cook for 45 minutes, stirring often, until the chicken is cooked. Remove the lid after 25 minutes so the sauce thickens, then season. Cook the couscous according to the packet instructions. Serve with the tagine.']"
Chilled cucumber and yogurt soup,This delicately flavoured soup recipe is a refreshing start to any Moroccan-inspired menu or perfect on its own. Browse more cold soup recipes.,"['2 cucumbers, peeled and deseeded', '1 garlic clove, crushed', '1 green chilli, deseeded and finely chopped', '500g Greek or thick natural yogurt', 'Large handful of fresh mint, leaves picked', 'Juice of ½ lemon', 'Warm flatbreads and olive oil to serve']","['Coarsely grate 1½ cucumbers and finely dice the rest. Put the grated cucumber in a colander over a bowl and chill for 10 minutes.', 'Whisk the garlic and chilli into the yogurt and season well. Finely chop the mint, reserving some small leaves to use as a garnish, then stir into the yogurt.', 'Squeeze the moisture from the grated cucumber, then add the cucumber to the yogurt with the lemon juice and enough water to bring the mixture to a soupy consistency (about 250ml). Whizz until smooth with a hand blender or liquidiser. Chill until ready to serve.', 'Scatter the diced cucumber and reserved mint leaves over the top. Serve with warm flatbreads and a drizzle of olive oil.']"
Harissa chicken with green couscous,"A richly spiced Moroccan-inspired harissa chicken recipe served with a helping of lovely green couscous. Perfect for a different dinner, in a dash!","['4 free-range chicken breasts, skin on', '2 tbsp rose harissa paste (we used Belazu)', '2 tbsp clear honey', '1 tbsp olive oil', 'Finely grated zest and juice of 1 lemon', '300g couscous', '500ml chicken stock, hot', '2 tbsp extra-virgin olive oil', 'Large handful each of fresh coriander and parsley and small handful of mint, chopped']","['Preheat the oven to 200°C/fan180°C/gas 6. Put the chicken in a bowl with the harissa, honey, oil and lemon zest. Season and set aside for 10 minutes.', 'Heat a griddle or ovenproof frying pan over a medium heat and fry the chicken, skin-side down, for 3-4 minutes until golden. Turn over, then cook in the oven for 10-12 minutes until cooked and sticky. Set aside for 5 minutes.', 'Meanwhile, put the couscous in a large bowl and pour over the hot stock. Cover and set aside for 10 minutes to allow it to absorb the stock, then fluff up with a fork. Stir in the extra-virgin olive oil and lemon juice.', 'Just before serving, stir in the chopped herbs and season well. Slice the sticky chicken and serve, along with any pan juices and the green couscous.']"
Moroccan red lentil and lamb stew,"This pressure cooker red lentil and lamb stew recipe can also be made using a conventional oven. A wonderfully spiced dish, it’s a great one to freeze so is ideal for batch cooking.","['2 tbsp olive oil', '750g lamb neck fillet or shoulder, cut into 2cm cubes', '1 onion, finely chopped', '3 large garlic cloves, roughly chopped', '2 tsp each ground turmeric, cumin, cinnamon', '1 tsp ground ginger', '2 tsp sweet paprika', '2 tsp hot paprika', '2 tbsp tomato purée', '3 medium potatoes, peeled and cut into 2cm cubes', '1 bay leaf', '300g red lentils', '400g chopped tomatoes', '900ml vegetable or chicken stock', '1 tbsp runny honey', 'Large bunch of fresh coriander, roughly chopped']","['Heat half the oil in the uncovered pressure cooker pan over a medium heat. Cook the lamb in batches until browned all over, then remove from the pan and set aside.', 'Add the onion and garlic to the pan and cook for 5 minutes until softened. Add the remaining oil, stir in the spices and tomato purée, then cook for 2 minutes more.', 'Add the potatoes, bay leaf, lentils, tomatoes, stock and honey, then return the lamb to the pan. Season.', 'Attach the pan lid, then bring it up to pressure. Once the correct pressure has been reached, reduce the heat, then cook for 20 minutes.', 'Reduce the pressure using the quick-release method (see manufacturer’s instructions), stir through the coriander and serve with pitta breads.']"
Chicken tagine,"This Moroccan-style tagine recipe is a one pot wonder, infused with exotic spices and easily cooked on the hob.","['2 tbsp olive oil', '8 free-range chicken thighs on the bone, seasoned', '2 red onions, sliced into wedges held together at the root end', '2 large garlic cloves, finely sliced', '1 tbsp ras el hanout', '1 cinnamon stick', '1 tsp ground cumin', '400g tin chopped tomatoes', '350ml chicken stock, hot', '2 preserved lemons, skin finely sliced, flesh discarded', '1 tbsp mango chutney', '200g soft dried apricots', 'Handful of blanched almonds', '400g tin chickpeas, drained and rinsed', 'Small handful of fresh coriander leaves']","['Heat the oil in a flameproof casserole over a medium-high heat. Add the chicken and brown all over. Remove to a bowl, then tip out and discard the excess fat from the casserole, leaving 1 tbsp. Lower the heat, add the onion and garlic, then cook for 10 minutes to soften.', 'Stir in the spices, increase the heat to medium, then cook, stirring, for a couple of minutes more.', 'Return the chicken to the casserole. Pour over the tomatoes and stock, then stir through the preserved lemon, chutney, apricots and almonds. Season. Bring to the boil, then lower the heat and simmer for 20-25 minutes or until the thighs are cooked and the sauce is reduced and sticky. For the final 5 minutes, add the chickpeas. Scatter over the coriander and serve with couscous.']"
Vegetable hash with soft-boiled eggs,"This Moroccan-inspired recipe is a quick, creative supper full of spiced vegetables, topped with a soft-boiled egg.","['500g waxy potatoes', '1 tbsp olive oil', '1 large red onion', '2 garlic cloves', '1 tbsp olive oil', 'A knob of butter', '160g (1 small) diced aubergine', '1 tsp ras el hanout spice blend', '1 tsp hot smoked paprika', '3 chopped fresh tomatoes', 'A large handful of chopped fresh flatleaf parsley 4 large free-range eggs']","['Dice 500g waxy potatoes, then cook in boiling salted water for 5 minutes. Drain well.', 'Meanwhile, heat 1 tbsp olive oil in a large sauté pan. Chop 1 large red onion, then finely chop 2 garlic cloves; fry together over a medium-low heat for 5 minutes to soften. Remove with a slotted spoon and set aside. Heat 1 tbsp olive oil and a knob of butter in a pan over a medium heat. Add the drained potato, season well, and fry for 4 minutes until starting to crisp. Stir through 160g (1 small) diced aubergine and cook for 5 minutes more. Return the softened onion to the pan and add 1 tsp ras el hanout spice blend and 1 tsp hot smoked paprika. Stir for 2 minutes, then add 3 chopped fresh tomatoes. Cook for a few more minutes until the tomato begins to soften. Taste and adjust the seasoning, then stir through a large handful of chopped fresh flatleaf parsley and spoon onto plates.', 'Meanwhile, lower 4 large free-range eggs into a pan of boiling water. Boil for 6 minutes, then remove with a slotted spoon and run under cold water until cool enough to handle. Peel, halve and place on top of the hash. Serve immediately.']"
Chicken tagine with almonds and apricots,"A tagine is a North African stew that takes its name from the conical dish in which it’s made, but this chicken recipe uses a flameproof casserole, which can be used on the hob. Looking for something a little zestier? How about our chicken and preserved lemon tagine?","['1.5kg free-range chicken, cut into\xa08 pieces, or 8 thighs', '1-2 tbsp olive oil', '2 onions, finely sliced', '2 garlic cloves, crushed', 'Pinch of saffron threads', '1 tsp each turmeric, ground cumin and ground cinnamon', '1½ tsp ground ginger', '1½ tsp hot paprika', '500ml apple juice', '500ml chicken stock, hot', '250g ready-to-eat dried apricots', '100g whole peeled almonds', 'Large bunch of fresh mint, chopped', 'Large bunch of fresh coriander or parsley, chopped']","['In a heavy-based flameproof casserole, lightly brown the chicken in the olive oil over a medium heat. Reduce the heat, add the onion and garlic and sauté for 3-4 minutes.', 'Add the spices, cook for 2 minutes, then pour in the apple juice and stock to cover the meat. Bring to\nthe boil and simmer for 15 minutes, stirring occasionally.', 'Add the apricots and almonds and cook for a further 15 minutes until the chicken is tender and the liquid has reduced and thickened.', 'Before serving, stir in most of the herbs, keeping some as a garnish.']"
Lamb and chickpea pilaf,"Lamb can be expensive, but this Moroccan pilaf rice dish makes a small amount go further, so as well as being super tasty it’s also budget friendly.","['400g lamb neck fillet, cut into small cubes', '1 tbsp olive oil', '1 large onion, finely sliced', '2 garlic cloves, finely chopped', 'Knob of fresh ginger, finely chopped', '2 tsp ras el hanout', '250g basmati rice', '500ml lamb stock, hot', '75g dried apricots, chopped', '400g can chickpeas, drained', 'Small handful flatleaf parsley, chopped, to serve']","['Season the lamb cubes with salt and pepper. Heat the oil in a wide, deep frying pan over a high heat. Add the lamb and fry, in batches, for 4-5 minutes until golden brown. Remove to a plate and set aside.', 'Add the onion, season and fry over a medium heat until softened. Add the garlic, ginger and ras el hanout and fry for 2-3 minutes.', 'Tip in the rice and stir to coat in the oil. Add the lamb, then the stock, stir well, bring to the boil, cover with a lid, turn down the heat and simmer for 10 minutes.', 'Stir in the apricots and chickpeas and warm through for a few minutes, then scatter with parsley and serve.']"
Cheat’s Moroccan lamb pot pies,"This quick Moroccan lamb pot pie recipe makes an inspiring midweek meal. We’ve used neck of lamb here, which is a cheaper cut, to make it budget-friendly too.","['300g lamb neck, excess fat removed, diced', '200g ready-to-sauté soffritto, like this one from Waitrose', '1 heaped tbsp Gourmet Garden Moroccan Fresh Blend seasoning', '400g can chopped tomatoes', '70g soft pitted prunes, chopped', '2 large filo pastry sheets, halved', 'Knob of butter, melted']","['Preheat the oven to 200°C/fan180°C/gas 6. Heat 1 tbsp olive oil in a large frying pan over a high heat. Season the lamb, add to the pan and cook for 5 minutes until browned all over. Remove from the pan and set aside.', 'Add the soffrito mix and cook for 3 minutes to soften. Stir through the Moroccan seasoning and cook for 2 minutes more.', 'Return the lamb to the pan, then stir through the chopped tomatoes and prunes. Bring to a simmer, then spoon into 2 x 400ml pie pots.', 'Brush the sheets of filo with melted butter, scrunch each filo sheet individually and use to top the pies. Pop the pies in the oven for 20 minutes or until the filo is golden and crisp.']"
Easy fish tagine,"Packed full of veggies, this fish healthy tagine recipe will have you well on your way to filling that five-a-day quota.","['4 x 150g sustainably sourced skinless cod fillets', '500g waxy new potatoes', '4 garlic cloves, chopped', '3 tbsp olive oil', '2 green peppers, sliced', '1 yellow pepper, sliced', '5 tomatoes, roughly chopped', '100ml vegetable stock', '100g pitted green olives', 'Lemon wedges and fresh coriander, to garnish']","['Whizz the marinade ingredients in a mini food processor or grind in a mortar and pestle until smooth. Rub half over the cod, cover and chill for between 20 minutes and an hour.', 'Meanwhile, boil the potatoes in a pan of salted water until tender, drain, then cut in half lengthways.', 'In a shallow casserole over a low heat, fry the garlic in the oil for 1-2 minutes. Add the peppers and cook for 5 minutes, then add the tomatoes and cook for a further 2 minutes. Stir in the remaining marinade and the vegetable stock. Season well.', 'Place the potatoes in a big non-stick frying pan with a lid. Top with half the tomato mixture, then with the fish, then add the remaining tomato mixture. Scatter over the olives, cover and cook over a medium-high heat for 10-12 minutes until the fish is just cooked through. Garnish with lemon wedges and coriander to serve.']"
Spicy Moroccan chicken with lemon couscous,"This delicious chicken and couscous recipe has all the flavours of Morocco, and is ready in under half an hour.","['1 tbsp olive oil', '1 large red onion, sliced', '2 tsp cumin seeds', '2 garlic cloves, finely chopped', '2 tbsp harissa paste', '400g portion cooked, shredded chicken with 300ml gravy, defrosted (see Roast chicken with speedy gravy recipe)', '400g can chopped tomatoes', '1 tsp caster sugar', '400g can chickpeas, drained and rinsed', 'Squeeze of lemon juice', '6 tbsp natural yogurt', 'Small handful fresh coriander leaves, chopped']","['Gently heat the oil in a casserole over a medium-high heat, add the onion and cumin and fry for 3-4 minutes. Add the garlic and fry for 1 minute. Stir in the harissa and fry for 1 minute. Add the chicken, gravy, romatoes, sugar and chickpeas.', 'Season, bring to the boil and simmer for 5 minutes. Stir in the lemon juice, yogurt and coriander.', 'Meanwhile, put the couscous in a large bowl, add the lemon zest and juice, and the oil. Season and stir, add enough stock to cover by 1cm, then cover with cling film for 5 minutes. Fluff up, stir in the mint and almonds and serve with the chicken.']"
Cheat’s chicken and vegetable tagine with lemon couscous,"A chicken tagine for two – ready in 15 minutes. You can also try small, peeled raw prawns instead of chicken.","['100g couscous', '3 tbsp olive oil', 'Zest of 1 lemon', '150ml hot chicken stock', 'Juice of ½ lemon', '2 free-range skinless chicken breasts, sliced', '20g tub Easy Bean Moroccan Tagine', '3 tbsp chopped fresh coriander leaves']","['Place the couscous in a bowl and mix with 1 tbsp olive oil and the zest of 1 lemon. Pour over hot chicken stock, stir and cover for 5 minutes. Fluff up the grains with a fork, stir in the juice of ½ lemon and season well with salt and freshly ground black pepper.', 'Heat another 2 tbsp olive oil in a frying pan over a medium-high heat and cook 2 free-range skinless chicken breasts, sliced, for 5 minutes until browned. Pour in the tub of Easy Bean Moroccan Tagine and cook for 5 minutes, then stir in 3 tbsp chopped fresh coriander leaves and serve on the couscous.']"
Baby barbecued spuds with fattoush salad,Serve up this summery combo of barbecued new potatoes and a crisp fattoush salad as part of a fabulous alfresco feast.,"['12 large, evenly sized new potatoes', '1 tbsp olive oil, plus 1 tsp', '1½ tsp smoked paprika', '125g mayonnaise']","['Light/preheat the barbecue and soak 4 wooden skewers in warm water for 30 minutes. Meanwhile, parboil the potatoes for 5 minutes in a pan of boiling salted water, then drain and toss in 1 tbsp oil, with a good pinch of sea salt and 1 tsp paprika. Thread the potatoes onto the soaked skewers and pop onto the hot part of the barbecue for 20 minutes, turning every 5 minutes or so. If they begin to burn, move to a cooler part.', 'Meanwhile, mix the remaining paprika with 1 tsp oil to make a paste, then stir into the mayonnaise.', 'Make the dressing by whisking all the ingredients together in a small bowl, season to taste and set aside.', 'When the potatoes are cooked and crisp, slide off the skewers and tumble into a bowl.', 'Assemble the salad by putting all the ingredients on a platter or in a large bowl, pour over the fattoush dressing and gently toss together.', 'Sprinkle with extra sumac and serve with the spuds and paprika mayonnaise for dipping.']"
Summer vegetable and sausage couscous,Seasonal roasted vegetables and hearty sausages make a light couscous dish perfect for serving in summer.,"['1 aubergine, cut into chunks', '1 large red onion, cut into wedges', '200g cherry tomatoes on the vine', '8 good-quality pork and herb sausages, chopped', '3 tbsp olive oil', '200g couscous', '400ml chicken stock, hot', 'Juice of 1 lemon', '100g green beans']","['Preheat the oven to 200°C/fan180°C/gas 6. Place the aubergine, red onion, tomatoes and sausages in a large roasting tin, drizzle with 2 tbsp of the olive oil, season and roast for 25-30 minutes, turning over once or twice.', 'Meanwhile, place the couscous in a large bowl and mix with the rest of the olive oil, then pour over the hot chicken stock, cover with cling film and stand for 10 minutes. Fluff up the grains with a fork and stir in the lemon juice.', 'Blanch the green beans in a pan of boiling water for 2 minutes, then refresh in cold water. Take the roasted veg and sausages out of the oven, mix them into the couscous with the pan juices and green beans, then serve.']"
