instructions,ingredients,title
"Toast the almonds in a large dry skillet over medium heat, stirring occasionally, until golden, 3 to 5 minutes. Transfer to a plate; let cool.
Return the skillet to medium heat. Add 2 tablespoons olive oil, then add the carrots, apricots and 3/4 cup water. Reduce the heat to medium low; cover and simmer until the carrots are just tender, 8 to 10 minutes. Uncover and add the toasted almonds, scallions, olives, honey, lemon juice and 1 teaspoon ras el hanout. Increase the heat and bring to a boil. Cook, tossing occasionally, until the liquid is reduced and the carrots are glazed, about 5 minutes. Stir in the parsley.
Meanwhile, season the fish with the remaining 1 teaspoon ras el hanout and 1/2 teaspoon salt. Heat the remaining 1 tablespoon olive oil in a large nonstick skillet over high heat. Add the fish, skin-side down, and cook, flipping once, until just cooked through, 5 to 6 minutes; season with salt. Remove from the heat and let the fish rest 2 minutes in the hot skillet. Serve with the carrots.
Photograph by Charles Masters","['1/4 cup sliced almonds', '3 tablespoons extra-virgin olive oil', '1 1/2 pounds carrots, cut into sticks', '1/2 cup dried apricots, quartered', '4 scallions, chopped', '1/4 cup thinly sliced pitted green olives', '1 tablespoon honey', 'Juice of 1/2 lemon', '2 teaspoons ras el hanout (Moroccan seasoning)', '1/4 cup chopped fresh parsley', '4 skin-on center-cut arctic char fillets (about 6 ounces each)', 'Kosher salt']",Spiced Char with Moroccan Carrots
"Heat butter and olive oil in a 3- to 4-quart Dutch oven or heavy-bottomed saucepan with a tight fitting lid over medium heat. When oil shimmers, add onion, garlic, cumin, and cinnamon, and season with salt and freshly ground black pepper. Cook, stirring occasionally, until spices are aromatic and onions are soft and translucent, about 5 minutes.
Add squash and potatoes, season with salt and freshly ground black pepper, stir to coat, and cook until just tender, about 3 minutes. Add broth, chickpeas, tomatoes and their juices, and saffron, if using. Bring mixture to a boil then reduce heat to low. Cover and simmer until squash is fork tender, about 10 minutes.
Remove from heat and stir in preserved lemon and olives. Serve over couscous garnished with cilantro, almonds, and yogurt.","['1 tablespoon unsalted butter', '1 tablespoon olive oil', '1 medium yellow onion, small dice', '4 medium cloves garlic, thinly sliced', '2 teaspoons ground cumin', '1 (3-inch) cinnamon stick', 'Salt and freshly ground black pepper', '1 pound butternut squash, large dice', '3/4 pound red potatoes, large dice', '2 cups low-sodium chicken or vegetable broth', '2 cups cooked chickpeas, drained', '1 (14-ounce) can diced tomatoes, with juices', 'Pinch saffron threads, optional', '1/2 preserved lemon, finely chopped', '1 cup brined green olives (recommend: Cerignola)', 'Steamed couscous, for serving', 'Fresh cilantro leaves, roughly chopped, for garnish', 'Toasted slivered almonds, for garnish', 'Plain yogurt, for garnish']",Squash and Chickpea Moroccan Stew
"To make the spice blend: Combine the cumin, coriander, turmeric, paprika, nutmeg cinnamon , cardamom, allspice, cayenne pepper, and ground cloves and store in an airtight container away from heat for up to several months.
Preheat the oven to 350 degrees F.
Arrange a wire cooling rack over a large baking sheet and place near a large mixing bowl. Place a bowl of warm water nearby.
In the large mixing bowl, combine the meat, bread crumbs, 1 egg lightly beaten, 2 to 3 tablespoons grated onion and juice, 2 cloves minced garlic, mint, cinnamon, nutmeg, salt, pepper, and a liberal drizzle of extra-virgin olive oil, about 2 tablespoons. Roll the meat into walnut-size balls with dampened hands (use the bowl of warm water) and arrange the meatballs on the wire rack set over baking tray. Roast the meatballs until cooked through, 20 to 25 minutes.
Meanwhile, heat more extra-virgin olive oil, a turn of the pan, in a Dutch oven over medium to medium-high heat. Add the chopped onion to the pan with the sliced garlic, and zucchini. Cook 7 to 8 minutes, then add the diced tomatoes, tomato sauce, honey, and spice blend, and bring to a bubble. Drain the chickpeas and stir into the sauce. Remove the meatballs from the oven and slide into the sauce. Cool completely and store for make-ahead meal.
To serve, reheat the meatballs in the sauce. Use about 1 cup water to loosen up the sauce, if necessary. Make 4 wells in the sauce and drop in the 4 freshly cracked eggs. Cover the pot and simmer to poach to desired doneness. Scoop the meal into shallow bowls and stir the egg into the meatballs and sauce as you eat.","['1 tablespoon ground cumin', '1 tablespoon ground coriander', '1 tablespoon turmeric', '1 tablespoon paprika', '1 1/2 teaspoons freshly grated nutmeg', '1 teaspoon ground cinnamon', '1 teaspoon ground cardamom', '1 teaspoon ground allspice', '1 teaspoon cayenne pepper', '1/2 teaspoon ground cloves', '1 pound ground lamb or beef', '2 slices good quality stale bread, crusts removed, processed into fresh bread crumbs', '5 eggs, 1 for meatballs, 4 for poaching and serving, optional', '1 medium onion, 1/4 onion grated and juiced, 3/4 onion, chopped', '4 large cloves garlic, 2 minced or pasted, 2 sliced', '1 small handful fresh mint leaves, leaves picked and finely chopped', 'Pinch ground cinnamon', 'Few grates nutmeg', 'Kosher salt and freshly ground black pepper', 'Extra-virgin olive oil, for liberal drizzling', '1 small zucchini, sliced on an angle or chopped', '1 (28-ounce) can diced tomatoes', '1 (8-ounce) can tomato sauce', '1 tablespoon honey', '1 tablespoon Spice Blend or Ras el hanout', '1 (14-ounce) can chickpeas', 'A handful cilantro, leaves picked and chopped']",Moroccan Meatballs with Eggs
"In a medium bowl, combine shredded carrots, diced cucumber and raisins. Set aside.
For the Dressing: In a small mixing bowl, combine lemon juice, cilantro, spices, and honey. Slowly whisk in extra-virgin olive oil.
Pour dressing over carrot salad and toss to coat. Cover with plastic wrap and refrigerate for several hours to allow flavors to meld.","['2 (10-ounce) packages pre-shredded carrots', '1 cucumber, seeded and chopped', '1 cup golden raisins', '1 lemon, juiced', '1/2 cup, chopped cilantro leaves', '1 teaspoon ground cumin', '1/2 teaspoon paprika', '1 pinch cayenne', '1 teaspoon honey', '1/4 cup extra-virgin olive oil']",Moroccan Carrot Salad
"In a large bowl combine the beef, onion, garlic, parsley, coriander, mint, marjoram, salt, pepper, cumin, paprika and cayenne. Cover and let sit for one hour. Soak 12 wooden skewers in water for one hour.
In a separate bowl combine cucumber, tomato, bell pepper, hot pepper, garlic, mint, red wine vinegar, olive oil, salt and pepper tossing to combine. Cover and let marinate at room temperature until ready to serve.
Preheat grill or broiler.
Dip hands into a bowl of water. Shape and pack about a 1/3 cup of the meat mixture into 2 sausage-shapes on a soaked wooden skewer. Repeat procedure for remaining meat and skewers.
Grill the keftas on both sides until cooked through, about 3 to 4 minutes per side. Serve hot with chopped salad.","['1 1/2 pounds ground beef', '1/2 cup grated onion', '2 cloves garlic, finely minced', '2 tablespoons finely chopped fresh parsley', '2 tablespoons finely chopped fresh coriander', '3 teaspoons finely chopped fresh mint or 1 teaspoon dried mint', '2 teaspoons finely chopped fresh marjoram or 1/2 teaspoon dried marjoram', 'Salt and freshly ground black pepper', '1/2 teaspoon ground cumin', '1/2 teaspoon paprika', '1/4 teaspoon cayenne', '1 seedless cucumber, peeled and finely diced', '1 large tomato, seeded and finely diced', '1 green bell pepper, seeded and finely diced', '1 hot Italian-style pepper, seeded and finely diced', '2 cloves garlic, finely minced', '3 tablespoons finely chopped fresh mint', '2 tablespoons red wine vinegar', '2 to 3 tablespoons olive oil']",Moroccan Beef Kefta on Skewers with Chopped Vegetable Salad
"Combine the orange-flavored liqueur, gin and mandarin liqueur in a cocktail shaker with ice. Strain into a rocks glass filled with ice, then add a splash club soda and garnish with and orange slice and mint sprig.","['1-ounce orange-flavored liqueur (recommended: Cointreau)', '1-ounce gin', '1-ounce mandarin liqueur (recommended: Marie Brizard Mandarin Liqueur)', 'Ice cubes', 'Orange flavored club soda', 'Orange slice', 'Mint Sprig']",Moroccan Cocktail Spritzer
"Watch how to make this recipe.
Season both sides of tilapia fillets with salt and black pepper. Rub cumin and coriander all over both sides of fillets. Heat oil in a large skillet over medium heat. Add tilapia fillets and cook 3 to 5 minutes per side, until fish is fork-tender. Meanwhile, in a small bowl, combine mango and cilantro. Top tilapia with mango mixture just before serving.","['Four 5-ounce tilapia fillets', 'Salt and ground black pepper', '2 teaspoons ground cumin', '2 teaspoons ground coriander', '1 tablespoon olive oil', '1 ripe mango, diced', '1/4 cup chopped fresh cilantro leaves']","Moroccan-Style Tilapia with Cumin, Mango and Cilantro"
"Boil water. Pour a small amount in teapot and swish around to warm the pot. Combine the mint and green tea and sugar in the teapot, then fill it with the rest of the hot water. Let tea brew, stirring the leaves once or twice, for 3 minutes. Pour tea through a tea strainer into glass teacups to serve. Garnish with remaining 4 sprigs of mint.","['10 fresh mint sprigs, plus 4 for garnish', '3 teaspoons green tea', '3 tablespoons sugar', '4 cups water']",Moroccan Mint Tea
"Wash and pat the chicken dry. Combine the cumin, coriander, ginger, paprika and cinnamon in a large plastic bag. Season the spice blend with pepper and a little salt (remember the olives will be salty so go easy). Add the chicken pieces to the bag and toss to coat evenly. Set aside in the refrigerator to marinate for 1 hour.
Set a large Dutch oven over medium-high heat and coat with olive oil. Brown the chicken in two batches, and then transfer to a platter. Add a little more oil to the pot and cook the garlic and onions until browned and translucent. Add the chicken back to the pot along with the lemon peel, thyme, bay leaf and saffron if using. Add the chicken broth, bring to a boil, and then reduce the heat, cover and simmer for 15 minutes.
Stir the chicken pieces, and add the olives and dates. Cover and cook until the chicken is very tender, 30 minutes longer. Remove the thyme and bay leaf before serving.
Serve the chicken with the pan sauce on a bed of the finely shredded cabbage on top of a whole toasted pita (cut in wedges, but still set on plate as a whole round pita, like a tostada). Garnish with the pistachios and chopped cilantro if using. Drizzle with the Tahini Sauce. Pair with a pinot grigio.
Combine the yogurt, tahini, honey, lemon juice and garlic in a food processor, or mix together well in a large bowl until well combined and completely smooth. Thin with water as desired. Season with salt and pepper.","['4 chicken thighs and 4 chicken leg pieces (3 to 4 pounds total)', '1 tablespoon ground cumin', '2 teaspoons ground coriander', '2 teaspoons ground ginger', '2 teaspoons paprika', '1/2 teaspoon ground cinnamon', 'Kosher salt and freshly ground black pepper', 'Extra-virgin olive oil', '4 cloves garlic, crushed', '1 medium yellow onion, diced', '2 strips fresh lemon peel', '2 sprigs fresh thyme', '1 bay leaf', 'Pinch saffron threads, optional', '1 cup low-sodium chicken broth', '1 cup pitted green olives', '1/2 cup dried pitted dates', '4 cups finely shredded green cabbage', '4 to 6 whole wheat pitas, toasted', '1/2 cup chopped roasted pistachios, optional', '1/4 cup chopped fresh cilantro, optional', 'Tahini Sauce, recipe follows:', 'Pinot grigio, for serving', '3/4 cup plain yogurt', '1/2 cup tahini', '2 teaspoons honey', '1 teaspoon lemon juice', '1/2 clove garlic, minced', 'Kosher salt and freshly ground black pepper']",Moroccan Chicken with Shredded Cabbage and Tahini Sauce on Pita
"For the rice: Combine the vegetable broth and ginger slices in a medium saucepan; bring to boil. Add the brown and wild rice and bring to boil. Reduce the heat to medium-low; cover and simmer until the rice is just tender, 50 to 55 minutes. Drain if necessary. Discard the ginger slices. Set the rice aside.
Meanwhile, position the oven rack in the center of the oven and preheat to 400 degrees F. Lightly oil a 13- by 9- by 2-inch glass or ceramic baking dish with 1 tablespoon of the vegetable oil; set aside.
Heat the remaining 2 tablespoons oil in a large nonstick skillet over medium-high heat. Add the green onions, carrots, onions, garlic, ginger, curry powder, cumin, 1/4 teaspoon salt and 1/8 teaspoon pepper. Cook, stirring occasionally, until the vegetables are tender, 6 to 7 minutes. Stir in the golden raisins, tofu and cooked rice mixture. Add the coconut milk and bring to a simmer. Cook for 1 minute until the sauce coats the back of a spoon. Season with the remaining 1/4 teaspoon of salt and 1/8 teaspoon pepper.
Remove from the heat and let cool while preparing the chard leaves.
Bring a large pot of salted water to boil. Using a sharp knife, cut away the thick stems from the center of each leaf; discard the stems. Cut each leaf in half lengthwise. Trim the wide ends from the leaves to make each leaf half about 10 inches long. Using tongs and working with 1 leaf half at a time, dip the leaf half into the pot of boiling salted water for 10 seconds. Transfer to paper towels to drain.
Place about 1/3 cup of the rice filling onto the end of one Swiss chard leaf half. Roll up the leaf, enclosing the filling completely. Repeat with the remaining leaf halves and rice filling for a total of 12 rolls.
Spread 1 cup of the sauce onto the bottom of the prepared baking dish. Place the filled rolls, seam-side down, in a single layer atop the sauce in the dish. Spoon the remaining tomato sauce over the rolls. Bake until the rolls are heated through, 25 to 30 minutes.","['2 3/4 cups vegetable broth or stock', 'Two 1/4-inch-thick slices fresh ginger, each about 1-inch in diameter', '1/2 cup short or long-grain brown rice', '1/2 cup wild rice', '3 tablespoons vegetable oil or canola oil', '1 cup sliced green onions (about 1 small bunch)', '3 small carrots, peeled and chopped into 1/4-inch pieces', '1 medium onion, finely chopped', '1 clove garlic, minced', 'One 2-inch piece fresh ginger, peeled and grated', '2 teaspoons mild curry powder', '1 teaspoon ground cumin', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1/2 cup golden raisins', '6 ounces extra-firm tofu (1/2 of one 12-ounce package), drained, patted dry, cut into 1/2-inch cubes', '1/2 cup organic coconut milk', '12 large fresh Swiss chard leaves (from 2 to 3 bunches)', 'One 26-ounce jar arrabiata or tomato-basil sauce']",Moroccan-Inspired Swiss Chard Rolls
"Heat olive oil in a large pot over medium-high heat. Add onion and garlic and saute until the onions begin to turn translucent; lower heat if browning starts to occur. Add spices and saute a minute or so. Add tomatoes, chickpeas, broth, and sugar. Season with a couple pinches of salt and 10 grinds fresh pepper. Stir well. Chickpeas should be just covered with liquid. If level is shy, add some water so the chickpeas are just covered.
Bring to a simmer, then lower heat to low and gently simmer for 45 minutes.
Remove soup from heat. Use a potato masher to mash up some of the chickpeas right in the pot. Stir in the spinach and let heat through until wilted, just a couple minutes.
Season again, to taste, with salt and pepper.
Serve soup, drizzled lightly with extra-virgin olive oil, if desired.","['1/4 cup extra-virgin olive oil, plus more for garnish', '1 large onion, medium diced', '6 to 8 cloves garlic, pressed', '1 teaspoon ground cinnamon', '1 teaspoon ground cumin', '1/8 teaspoon cayenne pepper', '1 heaping teaspoon sweet paprika', '1 (14.5-ounce) can chopped tomatoes', '3 (15-ounce) cans chickpeas, drained and rinsed well', '1 quart vegetable broth or reduced-sodium chicken broth', '1 teaspoon sugar', 'Kosher salt', 'Freshly ground black pepper', '1 (5-ounce) package pre-washed baby spinach']",Moroccan Spiced Chickpea Soup
"Meatballs:
Preheat oven to 350 degrees F.
In a large bowl, mix lamb, Spice Mix, egg, and ketchup, being careful not to overwork the meat. Form into 1 1/4-ounce balls, about the size of a ping-pong ball. Place meatballs on a large baking sheet and bake for approximately 20 minutes.
Sauce:
In a large saucepan over medium heat, add the oil and heat, then add the onions and lightly saute until soft. Add garlic, shallots, cinnamon sticks, cumin, and coriander and saute over low heat, about 3 to 4 minutes. Add tomato puree and bring to a boil. Add stock and season sauce with salt, ground black pepper, mint, and parsley. Simmer for about 10 minutes and remove the cinnamon sticks.
To serve: Add the meatballs to the sauce and heat until warmed through. Pour a small amount of sauce on the plate and add 5 meatballs per serving. Garnish with toasted slivered almonds, mint, and warm pita wedges.
In a medium bowl, mix all the spices together. Season with salt and pepper, to taste.","['2 1/2 pounds ground lamb', 'Spice Mix, recipe follows', '1 egg', '1/2 cup ketchup', '2 tablespoons olive oil', '1/2 cup minced onion', '1 tablespoon minced garlic', '1 tablespoon minced shallots', '2 cinnamon sticks', '1 tablespoon ground cumin, toasted*', '1 tablespoon ground coriander, toasted', '4 cups tomato puree', '1 cup vegetable or chicken stock', 'Salt and freshly ground black pepper', '1 tablespoon thinly sliced mint leaves', '1 tablespoon minced Italian parsley leaves', 'Slivered almonds, toasted, for garnish', 'Chopped fresh mint leaves, for garnish', 'Warmed pita wedges, for serving', '1 tablespoon ground coriander, toasted', '1 tablespoon ground cumin, toasted', '1 teaspoon curry powder', '1 tablespoon garlic powder', '1 teaspoon onion powder', '1 teaspoon dried oregano', '1 teaspoon dried thyme', '3/4 teaspoon ground mustard', '3/4 teaspoon paprika', '1/2 teaspoon ground allspice', '1/2 teaspoon ground cinnamon', '1/2 teaspoon chili powder', 'Salt and freshly ground black pepper']",Moroccan Spiced Lamb Meatballs in Cumin Coriander Spiced Tomato Sauce
"Watch how to make this recipe.
Preheat oven to 450 degrees F.
Coat a large baking sheet with cooking spray.
Transfer the cut vegetables to prepared baking sheet and drizzle with olive oil and 1/2 teaspoon each of salt and black pepper. Roast the vegetables for 20 minutes or until tender and golden brown.
In a large saucepan, combine broth, tomatoes, cumin, and thyme. Set pan over high heat and bring to a boil. Stir in all but 2 cups of the roasted vegetables (reserve 1 cup of the roasted vegetables for the Eggplant Caponata and 1 cup for the Chicken Curry). Reduce heat to medium and simmer 5 minutes.
Cook couscous according to package directions, adding apricots and cinnamon before the addition of boiling water.
Remove vegetable stew from heat and stir in cilantro. Season, to taste, with salt and black pepper.
Spoon cooked couscous into shallow dinner bowls and top with vegetable stew.","['Cooking spray', '1 large eggplant, cut into 2-inch pieces', '2 red bell peppers, seeded and chopped', '3 carrots, chopped', '1 large (or 2 medium) yellow squash, cut into 2-inch pieces', '2 tablespoons olive oil', 'Salt and ground black pepper', '4 cups reduced-sodium vegetable broth', '1 (28-ounce) can diced tomatoes', '1 teaspoon ground cumin', '1 teaspoon dried thyme', '1 cup couscous', '1/2 cup minced dried apricots', '1/4 teaspoon ground cinnamon', '1/4 cup chopped fresh cilantro leaves']",Roasted Vegetable Stew with Moroccan Couscous
"Preheat the oven to 350 degrees F.
With a knife, pierce the skin of the brisket in 5 places and insert the garlic cloves. Sprinkle with salt and pepper. Heat 2 tablespoons of the oil in a heavy skillet or roasting pan, add the meat, sear on all sides and remove.
Add 2 more tablespoons of the oil to the same pan and saute 3/4 of the onions (about 6 cups) until they are limp. Add the turmeric, ginger, white pepper, bay leaves, celery, 1/3 of the diced tomatoes, and water to the pan. Stir-fry a minute or 2 and let cool.
Place the brisket in a baking pan and surround with the cooked vegetables. Roast, covered, in the oven for 3 hours or until a fork goes in and out of the meat easily. Remove, cool and refrigerate, reserving the vegetables. You can prepare this a day ahead of time.
Tomato-Onion Sauce: Heat the remaining tablespoon of oil in the frying pan; add the remaining onions and saute until onions are translucent. Then add the remaining diced tomatoes and simmer, covered, for a few minutes. Set aside or refrigerate overnight or until ready to serve the meat.
When ready to serve, remove any fat that accumulated on the brisket as it cooled. Cut, against the grain, into slices about 1/4-inch thick. Return the slices to the baking pan along with the reserved vegetables in which the meat was cooked. Preheat the oven to 350 degrees F and reheat the brisket, covered, for about 30 minutes.
Add to the tomato-onion mixture, olives, preserved lemons and 2 tablespoons each of parsley and cilantro and heat in small saucepan. Remove the brisket and some, or all, of the vegetables to a serving platter and serve, covered with the tomato-onion sauce and garnished with the remaining parsley and cilantro.
Cut 7 of the lemons lengthwise, almost into quarters, leaving them intact at one end. You can also slice them thin.
Using your fingers, stuff as much salt as possible inside the lemons, close them, and place in sterilized wide-mouth 2 quart jar. Squeeze the juice of at least 4 lemons into the jar. Allow to stand, half covered, at least 1 week on the counter, shaking the bottle each day, or until the peels sink with the weight of the salt in the jar. Then add a few more salted lemons, lemon juice, and, if you like, olive oil to cover.
Close the jar and leave out on the counter for at least 3 weeks before using. When using the lemons, merely rinse with water, remove the seeds, and chop up for your recipes. Refrigerate after opening.","['5 to 6-pound beef brisket', '5 garlic cloves', 'Salt and freshly ground pepper', '5 tablespoons vegetable oil', '4 large onions, diced (about 8 cups)', '1/2 teaspoon turmeric', '1/2 teaspoon ground ginger', '1/2 teaspoon ground white pepper', '2 bay leaves', '1 celery stalk, diced', '3 large tomatoes, diced', '1 cup water', '1 1/2 cups green Moroccan olives, pitted', '2 to 3 preserved lemons, diced, recipe follows', '1/4 cup coarsely chopped fresh parsley', '1/4 cup coarsely chopped fresh cilantro', '12 to 15 lemons', '1/2 cup kosher salt']","Moroccan Brisket with Olives, Tomatoes, Onions, and Preserved Lemons"
"Make the spice blend: Toast the cinnamon stick, both peppercorns, cumin, coriander, allspice, cloves and cardamom in a small dry skillet over medium heat until fragrant, 2 minutes; let cool. Grind in a spice grinder or mini food processor with the ginger, turmeric, cayenne, nutmeg and 1 teaspoon salt. Store in an airtight container for up to 2 weeks; use leftover spice blend as a rub for meat or fish.
Make the couscous: Heat the butter, 1 1/2 teaspoons spice blend and the saffron, if desired, in a large skillet over medium-high heat until lightly toasted, about 1 minute. Add the couscous and stir until toasted, about 1 minute. Stir in the warm broth, remove from the heat, cover and set aside until the couscous is plump, about 7 minutes. Add the lemon juice and fluff with a fork. Transfer to a bowl and sprinkle with 1/2 teaspoon spice blend.
Photograph by Marcus Nilsson","['1 cinnamon stick', '1 teaspoon black peppercorns', '1/2 teaspoon white peppercorns', '1 teaspoon cumin seeds', '1 teaspoon coriander seeds', '1 teaspoon whole allspice', '1/2 teaspoon whole cloves', '2 cardamom pods', '1 teaspoon ground ginger', '1 teaspoon turmeric', '1/4 to 1/2 teaspoon cayenne pepper', '1/2 teaspoon freshly grated nutmeg', 'Kosher salt', '3 tablespoons unsalted butter', 'Large pinch of saffron (optional)', '2 1/4 cups (12 ounces) whole-wheat couscous', '3 cups low-sodium chicken broth, warmed', '1 to 2 teaspoons fresh lemon juice']",Moroccan Couscous
Put mint leaves into tea pot of boiling water. Pour green tea into strainer and add to boiling water.,"['Fresh mint leaves', 'Tea pot of boiling water', '2 Tbs. loose green tea', 'Mint garnish in tea cups']",Moroccan Mint Tea
"Trim excess fat and gristle from meat and cut lamb into 1-inch cubes. Place meat in a large bowl. In a small bowl, mix the cumin, ginger, cinnamon, and saffron; sprinkle over the meat and set aside.
On a cutting board, mince together the orange zest, cilantro leaves, garlic, and salt until you have a paste. Add to the meat along with the orange juice and stir well to coat. Cover the bowl and let stand at room temperature for 2 hours, or up to overnight in the refrigerator.
Transfer the mixture to a heavy pot, add the onions, tomatoes, and 1 cup water. Bring to a boil, cover, reduce heat, and simmer (or bake in a preheated 350 degree oven) until the meat is very tender, about 1 1/2 hours. Add olives and, if using, preserved lemon to the pot. Cook about 10 minutes more, then serve.
Wash a 1-pint glass-canning jar and its lid with hot soapy water; rinse and dry thoroughly.
Cut 6 of the lemons, 1 at a time, into quarters through 1 end without cutting all the way through the other end. You want the lemon to open out like a flower, but not to separate. Place the lemon on a large piece of parchment or waxed paper, spread quarters open and sprinkle flesh with a heaping tablespoon of kosher salt; put the lemon into the jar. Continue with remaining lemons, sprinkling salt on each. Pack the lemons in the jar tightly, filling it to the top (you may need more or less than 6 lemons, depending on their size). When you reach the top, lift the parchment and pour the excess salt from it into the jar of lemons.
Slide the bay leaves down opposite sides of the jar. Juice the remaining lemons 1 by 1, adding juice to the jar, until it reaches the top. Seal jar, shake well, and let stand at room temperature, shaking well every 12 hours, for 1 week. After 1 week, transfer jar to the refrigerator, continuing to shake every day. Lemons are preserved after 3 weeks and keep up to several months in the refrigerator.
To use lemons, pull out as needed and scrape away pulp. Dice peel and use as a condiment.","['3 pounds boneless lamb stew meat, from the shoulder', '1 teaspoon ground cumin', '1 teaspoon ground ginger', '1/2 teaspoon ground cinnamon', 'Pinch saffron threads', '1 orange, zested and juiced', '1/2 bunch cilantro, stems removed', '3 cloves garlic', '1 teaspoon kosher salt', '2 yellow onions, finely chopped', '1 (14-ounce) can diced tomatoes, with juice', '1 cup water', '1 cup pitted green Moroccan (or other) olives, chopped', 'Minced peel of 1 preserved lemon, recipe follows, optional', '10 to 12 organically grown lemons, preferably Meyer lemons', 'Kosher salt', '2 fresh or dried bay leaves, preferably Mediterranean']",Moroccan Lamb Stew with Preserved Lemons
"For the chickpeas: Preheat the oven to 425 degrees F.
Toss the chickpeas with the oil and season with salt and pepper. Spread on a rimmed baking sheet and roast until crispy, about 35 minutes.
For the scramble: Heat 2 tablespoons of the oil in a small pan over medium heat. Add the garlic and chile and cook until soft. Add the harissa paste and cook for 1 minute. Add 1/2 cup water and cook until thickened, about 2 minutes. Remove from the heat.
Heat the remaining tablespoon oil in a large nonstick saute pan over high heat, add the turkey and cook, stirring occasionally, until brown, about 5 minutes. Add the vinegar, spice paste and 1/2 cup water and cook a few minutes longer.
Whisk the eggs in a large bowl until light and fluffy. Add them to the turkey mixture and cook, stirring, until small moist and fluffy curds form, 3 to 4 minutes. Fold in the cilantro. Transfer to a platter and garnish with the avocado, red onion and roasted chickpeas.","['Two 15-ounce cans chickpeas, drained, rinsed and drained again', '2 tablespoons olive oil', 'Kosher salt and freshly ground black pepper', '3 tablespoons olive oil', '5 cloves garlic, finely chopped to a paste or grated with a rasp grater', '1 Fresno chile, finely diced', '1 tablespoon harissa paste', '8 ounces ground turkey or chicken (90/10)', '1 tablespoon red wine vinegar', '8 large eggs', '1/4 cup chopped fresh cilantro', '2 ripe avocados, peeled, pitted and diced', '1 medium red onion, thinly sliced, soaked in ice water for 10 minutes and drained']","Moroccan Scramble with Turkey Merguez, Roasted Chickpeas and Avocado"
"Preheat the oven to 300 degrees F. Heat 2 tablespoons of olive oil in a very large (12-to-13-inch) pot or Dutch oven, such as Le Creuset. Pat the lamb shanks dry with paper towels. In batches, add the lamb shanks to the pot and cook over medium heat for 3 minutes on each side, until they are nicely browned. Transfer to a plate and brown the remaining shanks, adding a little more oil, if necessary. Transfer all the shanks to the plate and set aside.
Add the onions and cook over medium-low heat for 5 minutes, stirring occasionally, adding more oil, if necessary. Add the garlic and ginger and cook for just 30 seconds. Add the chili powder, turmeric, cumin, cardamom and cinnamon and cook for one minute. Stir in the tomatoes and their liquid, the chicken stock, brown sugar, lime, 1 tablespoon salt and 1 teaspoon pepper. Add the potatoes, butternut squash and sweet potatoes and bring to a boil. Place the lamb shanks in the pot, spooning some of the sauce and vegetables over the shanks. (They will not be completely submerged.) Cover the pot and bake for 3 hours, until the lamb shanks are very tender. Serve hot with couscous.
Photograph by Johnny Miller","['Good olive oil', '6 small frenched lamb shanks (5 to 6 pounds total)', '3 cups chopped yellow onions (2 large onions)', '3 garlic cloves, thinly sliced', '1 tablespoon grated fresh ginger', '1 1/2 teaspoons chili powder', '1 1/2 teaspoons ground turmeric', '1 1/2 teaspoons ground cumin', '1/2 teaspoon ground cardamom', '1 (4-inch) cinnamon stick', '1 (28-ounce) can diced tomatoes, such as San Marzano', '2 cups good chicken stock, preferably homemade', '2 tablespoons light brown sugar, lightly packed', '4 (1/2-inch-thick) slices of lime', 'Kosher salt and freshly ground black pepper', '1 pound Yukon Gold potatoes, unpeeled and 1-inch-diced', '1 pound butternut squash, peeled and 1-inch-diced', '1/2 pound sweet potatoes, unpeeled and 1-inch-diced', 'Couscous, for serving']",Moroccan Lamb Tagine
"Process the dates, raisins, and walnuts in a food processor until the mixture is finely chopped and begins to stick together. Add enough wine to make a sticky mass. Line a baking sheet with waxed paper. Drop slightly rounded measuring teaspoonfuls of the mixture onto a lined sheet. Roll each mound with moistened palms into hazelnut-size balls. Refrigerate for at least 3 hours or until firm.;","['1 to 2 tablespoons sweet red passover wine', '2 cups pitted dates', '1/2 cup golden raisins', '1/2 cup dark raisins', '1/2 cup walnuts']","Moroccan Harost Balls with Dates, Raisins and Nuts"
"Watch how to make this recipe.
Put the orange juice and thyme in a small saucepan, over medium heat and bring to a boil. Cook until reduced by half and becomes a syrup. Strain into a bowl, then add the honey and harissa, to taste.
Preheat the grill to medium.
Brush the fillets with oil on both sides and season with salt and pepper, to taste. Grill until slightly charred on both sides and just cooked through, about 4 minutes per side. Remove to a platter, drizzle with the sauce and sprinkle with olives and parsley.","['3 cups fresh orange juice', 'Fresh thyme sprigs', '1 tablespoon honey', 'Harissa, to taste', '4 (6-ounce) fillets wild striped bass, with skin', 'Canola oil', 'Salt and freshly ground black pepper', 'Cured black olives, pitted, coarsely chopped', 'Brined black olives, pitted', 'Roughly chopped flat-leaf parsley']",Moroccan-Style Striped Bass
