title,ingredients,directions
Moroccan Beef Tajine With Apricot And Pear ,"[""2 teaspoons butter"", ""2 large onions chopped"", ""4 teaspoons fresh ginger root"", ""2 teaspoons salt"", ""1/2 teaspoon turmeric"", ""2 cinnamon sticks"", ""4 cloves garlic"", ""2 teaspoons garlic minced"", ""2 lb lean stewing beef"", ""10 oz beef broth"", ""2 pears (or apples) sliced"", ""2 tablespoons slivered almonds (toasted)"", ""2 tablespoons fresh cilantro"", ""Lime wedges""]","[""Add butter to a preheated pan and saute onion, ginger, salt, pepper, turmeric and cinnamon sticks until glazed. Add garlic and beef, saute until beef turns brown (about 5 minutes). Add beef broth and bring to a boil. Divide the contents of the saute pan between the two tajines."", """", ""Cover the tajine and cook at 325 for 1 hour. Remove the tajines and divide the pear slices and apricots evenly between the two tajines. Cook for another 30 minutes . Remove the tajines and garnish with slivered almonds and cilantro, top with lime wedges if desired.""]"
Amb And Prune Meatballs With Moroccan Tomato Sauce ,"[""for the meatballs"", ""1 pound ground lamb"", ""1/3 cup chopped pitted prunes"", ""1/4 cup minced cilantro"", ""1 teaspoon grated ginger"", ""1 teaspoon cumin"", ""1/2 teaspoon cinnamon"", ""pinch crushed red pepper"", ""for the tomato sauce"", ""1 28-ounce can whole plum tomatoes (with juices)"", ""1 onion, chopped"", ""1 teaspoon cumin"", ""1/2 teaspoon cinnamon"", ""1/4 teaspoon cayenne pepper"", ""1 teaspoon grated ginger""]","[""Put the lamb into a bowl and sprinkle over the spices and herbs. Season with salt and add prunes. Work everything together thoroughly with your hands. Scoop out mixture by the tablespoon and roll into balls. Bake meatballs in 350 oven for 25 minues"", """", ""Add cumin, cinnamon, ginger, and cayenne to skillet and stir until fragrant, about 30 seconds. Add onion and cook until softened. Add tomatoes to the skillet and cook over moderate heat, breaking up tomatoes with a spoon until sauce is simmering and flavors have developed, about 15 minutes. Return meatballs (and any accumulated juices) to the skillet, give them a good stir, and serve meatballs and sauce over couscous, garnished with cilantro.""]"
Moroccan Slow Cooker Butternut Squash And Carrot Stew ,"[""Moroccan Slow Cooker Butternut Squash and Carrot Stew"", ""Weight Watchers | 4 points"", ""1 spray(s) cooking spray"", ""1 small onion(s), chopped"", ""1 medium garlic clove(s) minced"", ""1 medium butternut squash peeled, seeded and cut into 1/2-inch cubes*"", ""1 cup baby carrots"", ""1 cup canned crushed tomatoes 1/2 cup vegetable broth"", ""1/4 tsp ground cinnamon"", ""1/2 tsp ground cumin"", ""1/2 tsp red pepper flakes"", ""15 oz canned chickpeas, drained and rinsed"", ""1/2 tsp table salt""]","[""Coat a small skillet with cooking spray."", ""Add onion and garlic; saute for 5 minutes."", ""Place squash in a 3-quart or larger slow cooker (crockpot)."", ""Add sauteed onion and garlic, carrots, tomatoes, broth, cinnamon, cumin and red pepper flakes."", ""Cover and turn on to low heat; simmer for 6 hours."", ""Add chickpeas and salt."", ""Stir, cover and heat for an additional 5 minutes. Yields about 1 1/3 cups per serving.""]"
Moroccan Vegetable Soup ,"[""2 tsp olive oil"", ""l large onion, chopped"", ""3 cloves garlic, finely chopped"", ""1 1/2 cups diced butternut squash"", ""1 1/2 cups diced carrots"", ""3/4 cup diced celery"", ""2 tsp grated ginger"", ""1/4 tsp red pepper flakes"", ""6 cups sodium reduced chicken broth"", ""1 can (796 mL) Italian plum tomatoes, coarsely chopped, with juice"", ""3/4 cup green lentils"", ""1 cinnamon stick"", ""salt & pepper to taste""]","[""1. Heat oil in a large heavy pot over medium heat. Add the onion and garlic; saute until soft, about 6-8 minutes."", ""2. Add squash, carrots, celery, ginger and red pepper flakes. Saute another 5 minutes."", ""3. Add broth, tomatoes, lentils, cinnamon stick, salt and pepper. Bring to a boil; reduce heat and simmer, covered, for 1 hour, stirring occasionally to break up tomatoes. Remove cinnamon stick."", """", ""Can be served with Charmoula Sauce, but great without as well.""]"
Lamb Chops With Moroccan Barbecue Sauce ,"[""8 lamb loin chops (each about 1 in. thick and 4 oz.), fat trimmed"", ""Mint chutney (recipe follows)"", ""Salt and pepper"", ""Moroccan barbecue sauce (recipe follows)""]","[""1. Rinse lamb chops; pat dry. Place chops in a bowl with about 1/4 cup mint chutney; turn to coat. Cover and chill at least 4 hours or up to 1 day."", ""2. Lift lamb chops from bowl (discard any chutney in bowl) and sprinkle all over with salt and pepper. Place on a grill over a bed of medium-hot coals or medium heat on a gas grill (you can hold your hand at grill level only 3 to 4 seconds); close lid on gas grill. Cook chops, turning once, until browned on both sides but still pink in the center (cut to test), 9 to 12 minutes total."", ""3. Place chops on plates and drizzle with Moroccan barbecue sauce; offer remaining chutney and sauce alongside."", ""Mint chutney: In a blender, whirl 1 cup lightly packed rinsed fresh mint leaves, 1/2 cup olive oil, 1/2 cup chopped green onions (white and pale green parts), 3 tablespoons parsley leaves, 1 tablespoon lemon juice, 1 peeled clove garlic, 1 teaspoon salt, 1/2 teaspoon curry powder, and 1/4 teaspoon cayenne until smooth. Makes about 1 cup."", ""Moroccan barbecue sauce: In a 2- to 3-quart pan, combine 3/4 cup honey, 1/2 cup fresh cilantro sprigs, 1/3 cup lemon juice, 1/4 cup rice vinegar, 1/4 cup ketchup, 1/4 cup soy sauce, 1 clove garlic, 1 whole star anise, 1 cinnamon stick (3 in. long, broken into pieces), 3/4 teaspoon black peppercorns, and 1/4 teaspoon each ground ginger, ground cardamom, whole cloves, hot chile flakes, and salt. Bring to a simmer over medium-high heat; cook, stirring occasionally, until sauce is reduced to about 1 1/4 cups, about 15 minutes. Pour through a fine strainer into a bowl. Makes about 1 1/4 cups.""]"
Moroccan Vegetable Salad ,"[""1 large cucumber, thinly sliced"", ""2 cold, boiled potatoes, sliced"", ""1 each red, yellow and green bell peppers, seeded and thinly sliced"", ""2/3 cup pitted olives"", ""Salt (optional)"", ""3 garlic cloves, chopped"", ""3 scallions, sliced or 1 red onion, finely chopped"", ""4 tablespoons olive oil"", ""1 tablespoon white wine vinegar"", ""Juice of 1/2 lemon"", ""1 tablespoon chopped fresh mint leaves"", ""1 tablespoon chopped fresh cilantro leaves""]","[""1. Arrange the cucumber, potato and pepper slices, and the pitted olives on a serving plate or in a dish."", ""2. Season with salt, if you like. (Olives tend to be very salty so you may not wish to add any extra salt.)"", ""3. Sprinkle the garlic, onions, olive oil, vinegar, and lemon juice over the salad. Chill for at least 1 hour. Before serving, sprinkle with the chopped mint leaves and cilantro leaves.""]"
Moroccan Chicken With Couscous ,"[""6 small chicken breast halves, skinned"", ""1/2 tsp salt"", ""1/4 tsp ground black pepper"", ""2 tbsp olive oil"", ""1 1/2 tsp ground cumin"", ""1 1/2 tsp ground cinnamon"", ""1 1/2 tsp ground ginger"", ""6 carrots, peeled and sliced"", ""2 large onions, halved and thinly sliced"", ""2 cloves garlic, minced"", ""1 14 oz can chicken broth"", ""1/4 cup tomato paste"", ""2 tbsp lemon juice"", ""1/3 cup dried apricots, coarsely chopped"", ""1/3 cup raisins"", ""3 cups hot cooked couscous"", ""3 tbsp pine nuts, toasted"", ""Fresh cilantro sprigs""]","[""Sprinkle chicken with salt and pepper. In large Dutch oven, heat oil over medium high heat. Brown chicken. Remove chicken. Add cumin, ginger and cinnamon to pan. Cook and stir for 2 minutes. Add carrots, omions and garlic to spices in pan. Cook over medium heat for 5 minutes, stirring occasionally. Add broth, tomato paste, and lemon juice. Stir to combine. Return browned chicken to pan. Sprinkle with apricots and raisins. Bring to boil. Reduce heat. Cover; simmer 35 to 40 minutes or until chicken is no longer pink and vegetables are tender. Serve in shallow bowls with couscous. Sprinkle with pine nuts and cilantro.""]"
Green Leafy Moroccan Medley ,"[""1 tablespoon minced garlic"", ""1 1/2 cups diced onions"", ""2 cups sliced mushrooms"", ""1 red bell pepper, seeded and chopped"", ""1 tablespoon ground coriander"", ""1 tablespoon cinnamon"", ""1 tablespoon ground cumin"", ""1 teaspoon crushed red pepper"", ""2 cups fire roasted tomatoes, low sodium or no salt added"", ""4 cups mustard greens, tough stems removed, leaves chopped"", ""4 cups collard greens, tough stems removed, leaves chopped"", ""1/4 cup currants""]","[""In a large soup pot, heat 2 tablespoons of water over medium high heat and add the garlic and onions. Cook and stir for 5 minutes. Add the mushrooms, pepper, spices and a little more water if needed. Cook and stir for another 5 minutes. Add all the remaining ingredients and simmer, covered on medium low heat for 10 minutes or until the greens are tender.""]"
Moroccan Cooked Salad - (Salade Cuite Recipe) ,"[""2 large green bell peppers"", ""1 large (28-ounce or 828.04 milliliter or 0.82 liter) can tomatoes"", ""1/2 cup canola oil"", ""Salt and pepper, to taste""]","[""Instructions for the Moroccan Salad recipe (Cooked), or Salade Cuite recipe:"", """", ""1. Roast two bell peppers on stovetop or under the broiler until skin is blackened and can be removed."", ""2. Chop peppers and combine with tomatoes in a saucepan; simmer slowly until all liquid is gone."", ""3. Combine mixture with canola oil and mix well."", ""4. Add salt and pepper to taste."", ""5. Let cool and serve."", """", ""Makes 3 to 4 cups.""]"
Moroccan Couscous ,"[""1 1/4 cup water or chicken broth"", ""1 cup pearl couscous"", ""1 tsp basil oil"", ""1/2 tsp salt"", ""1/4 tsp cinnamon"", ""2 tbsp chopped mint (optional)"", ""1/4 red bell pepper, chopped"", ""6 oz cherry tomatoes, quartered"", ""1/4 cup sliced green olives"", ""1/3 cup basil, chopped"", ""1 tsp garlic powder"", ""2 TBSP capers""]","[""Boil water in a medium sized saucepan. Add couscous"", ""and simmer until tender, about 5 minutes. Add all remaining ingredients and stir until warmed completely.""]"
Moroccan Chicken ,"[""\t7 tablespoons olive oil"", ""\t1 lemon, zest grated and juiced (about 2 to 3 tablespoons juice)"", ""\t1 teaspoon harissa"", ""\t4 skinless chicken thighs, (about 2 pounds)"", ""\t1/2 cup chicken broth"", ""\tPinch saffron strands"", ""\t1 large onion, chopped"", ""\t3 medium zucchini, cut into 1/2-inch half moons or chunks"", ""\t3 yellow squash, cut into 1/2-inch half moons or chunks"", ""\t3 medium plum tomatoes, quartered"", ""\t1/2 cup dried pitted prunes (about 10)"", ""\t1/4 cup black olives, pitted"", ""\tCoarse salt and freshly cracked black pepper"", ""\t1/4 cup almonds"", ""\t2 tablespoons chopped fresh flat-leaf parsley"", ""Spice Mixture:"", ""\t1 teaspoon ground cinnamon"", ""\t1 teaspoon ground cardamom"", ""\t1/4 teaspoon ground turmeric"", ""\t1/2 teaspoon ground cumin"", ""\t1/2 teaspoon sweet paprika"", ""\t1/2 teaspoon ground ginger"", ""\t1 1/2 teaspoons kosher salt"", ""\t1/2 teaspoon cracked black pepper""]","[""In a medium glass bowl, combine the spice mixture, 2 tablespoons of the olive oil, the lemon zest, lemon juice, and harissa. Add the chicken thighs and stir to coat. Cover the bowl with plastic wrap and refrigerate at least 1 hour or up to 3 hours. Warm the chicken broth and add the saffron strands, then allow to steep at least 1 hour or up to 3 hours."", """", ""Preheat the oven to 350 degrees F."", ""Remove the chicken thighs from the marinade. In a Dutch oven over high heat, brown the chicken thighs on both sides in 2 tablespoons olive oil, about 2 to 3 minutes per side. Set chicken aside on a plate. Reduce the heat to medium, add 1 tablespoon olive oil to the pan, and saute the onion until golden, about 5 minutes. Place the chicken thighs on top of the onions and add any accumulated juices from the plate. Arrange the zucchini and yellow squash and tomato quarters on top of the chicken and tuck in the prunes and olives. Season well with salt and pepper. Pour over the chicken broth and saffron. Cover and place on the bottom rack of the oven. Let cook undisturbed 1 1/2 to 2 hours, until the vegetables are tender and the chicken is falling off the bone. Remove from the oven and transfer the contents of the Dutch oven to a large serving dish."", """", ""Heat 2 tablespoons olive oil in a small saucepan over high heat until hot but not smoking. Add the almonds and fry until the skins begin to crackle, about 2 to 3 minutes. Pour the almonds and hot oil over the vegetables and chicken on the serving dish. Sprinkle with the chopped parsley and serve, spooning over the sauce in the dish and garnishing each plate with the lemon quarters."", """", ""Cook's Note: If you're using a tagine: An unseasoned ceramic tagine may crack in the oven. Before using the tagine for the first time, submerge and soak it overnight in cool water. Pat dry and rub the inside with 1 tablespoon olive oil, then place in 350 degree F oven for 1 hour. Allow to cool, then proceed with the recipe.""]"
Moroccan Spiced Honey Hummus ,"[""2 cans (15 oz each) chickpeas, drained and rinsed"", ""1/3 cup honey"", ""1/3 cup tahini (sesame paste)"", ""1/4 cup lemon juice"", ""2 cloves garlic, peeled"", ""1 tsp ground cumin"", ""1/2 tsp ground cinnamon"", ""1/4 tsp crumbled saffron threads"", ""1/3 tsp ground cloves"", ""2 Tbsp fresh chopped parsley or cilantro for garnish""]","[""Combine all ingredients except for cilantro or parsley in a food processor and process until smooth. Adjust seasonings to taste."", """", ""Like all hummus, this can be stored in the refrigerator. However, this is best served at room temperature so make sure to take it out a little while before serving."", """", ""Serve garnished with fresh chopped parsley or cilantro.""]"
Moroccan Chicken ,"[""2 tablespoons olive oil"", ""4 chicken thighs, skinned"", ""1/2 onion, chopped"", ""1 can (14 1/2 ounce) stewed tomatoes (no salt added)"", ""1/2 cup dried plum (prune) juice or orange juice"", ""6 pitted dried plums (prunes), diced"", ""1/4 teaspoon ground allspice"", ""Kosher salt and freshly ground black pepper, to taste"", ""1 1/3 cups boiling water 1 cup plain tabbouleh"", ""1/2 cup chopped parsley""]","[""Preparation Time: Approximately 30 minutes"", """", ""Cook Time: Approximately 50 minutes"", """", ""Preparation:"", """", ""Heat the oil in a large skillet over medium-high heat. Add the chicken and brown on one side. Turn and add the onion; continue cooking until the onion and chicken are browned. Drain the excess fat. Stir in the tomatoes, juice, dried plums, allspice, salt and pepper. Cover and cook 5 minutes over medium heat."", """", ""Uncover and simmer about 10 minutes, until the sauce thickens and the chicken is done; turning the chicken and stirring the sauce occasionally."", """", ""Meanwhile combine the boiling water and tabbouleh in a medium saucepan. Cover and rest for 5 minutes. Add the parsley to tabbouleh and season to taste with salt and pepper. Serve the chicken and sauce on a bed of tabbouleh."", """", ""Nutritional Information Per Serving: Calories 360; Fat 10g; Saturated fat 2g; Cholesterol 55mg; Sodium 470mg; Total Carbohydrate 52g; Fiber 11g; Protein 20g; Vitamin A 25%DV*; Vitamin C 40%DV; Calcium 8%DV; Iron 20%DV"", """", ""*Daily Value""]"
Moroccan Harissa ,"[""1 ounce whole dried cayenne chili peppers or crushed red pepper flakes (about 3 tablespoons)"", ""1 tablespoon red wine vinegar"", ""1 small garlic clove, peeled"", ""3/4 teaspoon salt"", ""1/2 teaspoon sweet or smoked paprika (not hot)"", ""1/4 teaspoon sugar"", ""1/4 teaspoon freshly ground black pepper"", ""1/2 cup olive oil.""]","[""1. In a small bowl or pot, cover chili peppers or flakes with boiling water and let soak 30 minutes. Drain. If using whole chilies, remove stems and seeds."", """", ""2. Transfer to blender or small food processor. Add vinegar, garlic, salt, paprika, sugar and pepper, and blend well to finely chop chilies. Add oil, and blend to emulsify."", """", ""3. Taste and adjust seasoning with vinegar, salt and pepper; harissa should be quite spicy and thin enough to pour. Serve immediately or refrigerate, tightly covered, up to 1 week.""]"
Moroccan-Spiced Scallops With Lentils ,"[""1 teaspoon ground cumin"", ""1 teaspoon ground coriander"", ""1/2 teaspoon ground cinnamon"", ""2 tablespoons olive oil, divided"", ""1/2 cup chopped onion"", ""2 1/2 cups (or more) vegetable broth"", ""1 cup red lentils,* rinsed"", ""1/4 cup chopped fresh cilantro plus additional for sprinkling"", ""1 1/2 pounds sea scallops, patted dry""]","[""Mix first 3 ingredients in small bowl. Heat 1 tablespoon oil in heavy medium saucepan over medium-high heat. Add onion and saute until translucent, about 4 minutes. Add 2 teaspoons spice mixture and saute 30 seconds. Stir in 21/2 cups vegetable broth and lentils. Bring to boil; reduce heat to medium and simmer until lentils are tender, adding more broth by tablespoonfuls if dry and stirring occasionally, about 10 minutes. Stir in 1/4 cup cilantro; season to taste with salt and pepper."", ""Meanwhile, heat 1 tablespoon oil in heavy large skillet over high heat. Sprinkle scallops with salt, pepper, and remaining spice mixture; add to skillet and cook until browned on both sides and just opaque in centers, about 2 minutes per side. Top lentil mixture with scallops and sprinkle with additional cilantro.""]"
Squash And Chickpea Moroccan Stew ,"[""1 tablespoon Butter"", ""1 tablespoon Olive oil"", ""1 cup Yellow onion, diced"", ""4 cloves Garlic, thinly sliced"", ""2 teaspoons Cumin, ground"", ""1 stick Cinnamon"", ""1 pound Butternut squash, peeled and diced large"", ""3/4 pound Potatoes (red or sweet), large dice"", ""2 cups Broth or water"", ""2 cups Chickpeas, cooked"", ""14 ounces Diced tomatoes with juices"", ""1 pinch Saffron threads"", ""1/2 piece Preserved lemon, finely chopped"", ""1 cup Green olives, brined""]","[""Heat butter and olive oil in a 3-4 quart dutch oven or heavy-bottomed saucepan with a tight-fitting lid. When oil shimmers, add onion, garlic, cumin, and cinnamon stick, and season with salt and pepper. Cook, stirring occasionally, until spices are aromatic and onions are soft and translucent, about five minutes."", ""Add squash and tomatoes, stir to coat, and cook 3-5 minutes, until squash is still very firm but beginning to soften. Add broth, chickpeas, tomatoes with their juices, and saffron. Bring to a boil, lower heat, and simmer with lid on about 10 minutes, or until squash is tender."", ""Remove from heat and stir in olives and preserved lemon. Serve over couscous with cilantro, almonds and yogurt.""]"
Moroccan Chicken ,"[""500g grams French Prunes"", ""125 milliliters Olive oil"", ""30ml (2tbsp) milliliters Pure Clear Honey"", ""1 piece Red Onion (peeled and sliced)"", ""3 clove Garlic (roughly chopped)"", ""5 milliliters Ground cumin (1tsp)"", ""15 milliliters Capers (1 tbsp)"", ""5 milliliters Fresh ginger (freshly grated) 1 tsp"", ""100 grams Black Olives (pitted)"", ""225 milliliters Dry white wine"", ""30 milliliters Fresh coriander (chopped)2 tbsp"", ""4 piece Boned Chicken Breasts"", ""1/2 piece hot green pepper""]","[""Remove skin from chicken and place chicken in ovenproof casserole. Add prunes"", ""Place olive oil in a jug. Add honey, onion, garlic, cumin, capers and ginger and mix together"", ""Pour mixture over chicken and prunes. mix well. add remaining ingredients and mix thoroughly"", ""Leave to marinate for 30 min. Place chicken in preheated oven 180c for 45min or until thouroughly cooked""]"
Moroccan Baked Fish ,"[""Two 12-ounce fillets"", ""(each 3/4 to 1 inch thick)"", ""2 tablespoons olive oil, plus more"", ""for brushing the baking sheet"", ""1 tablespoon ground cumin"", ""1 teaspoon ground coriander"", ""1/2 teaspoon ground cinnamon"", ""1/2 teaspoon cayenne pepper"", ""Kosher salt"", ""Freshly ground black pepper"", ""Chopped fresh cilantro for garnish"", ""4 lime wedges""]","[""Preheat the oven to 400 degrees F. Brush a l7-inch, rimmed baking sheet with oil."", """", ""Brush both sides of the fish with the 2 tablespoons of oil."", """", ""Mix the cumin. coriander. cinnamon. and cayenne in a small bowl. Rub the spice mixture allover the fish."", """", ""Sprinkle the fish with salt and pepper. Place it all the prepared baking sheet."", """", ""Bake the fish. without turning, until it is just opaque in the center, at least 12 minutes, 15 minutes for thicker fillet."", """", ""Transfer the fish to a platter and sprinkle with chopped cilantro."", ""Serve with the lime wedges.""]"
Grilled Moroccanchicken ,"[""1/2cup extra virgin olive oil"", ""1/4 cup chopped scallions(white part only)"", ""1/4 cup chopped fresh parsley"", ""1/4 cup chopped fresh cilantro"", ""1 tablespoonminced garlic"", ""2 teaspoons paprika"", ""2 teaspoons ground cumin"", ""1 teaspoon salt"", ""1/4 teaspoon cayenne pepper"", ""1/4 teaspoon turmeric"", ""4 boneless,skinless chicken breasts or any part of"", ""chicken you like""]","[""Combine oil,scallions, parsley, cilantro, garlic, paprika, cumin,salt,turmeric and cayenne pepper"", ""in the container of a blender or a food processor. Process untilsmooth."", ""Rub themixture on both sides ofthe chicken breasts and letstand 30minutes. Preheat outdoor"", ""grill or indoor grill pan tomediumhot heat. Grill chicken breasts 5 - 7minutes on each side or"", ""until done. Yield: 4 servings""]"
Moroccan Preserved Lemons ,"[""Lemons"", ""Salt"", ""coriander seed, cinamon stick, bay leaf, dried chilli""]","[""Scrub the lemons with a vegetable brush and dry them off."", ""Cut off the little rounded bit at the stem end if there's a hard little piece of the stem attached. From the other end of the lemon, make a large cut by slicing lengthwise downward, stopping about 1-inch (3 cm) from the bottom, then making another downward slice, so you've incised the lemon with an X shape."", ""Pack coarse salt into the lemon where you made the incisions. Don't be skimpy with the salt: use about 1 tablespoon per lemon."", ""Put the salt-filled lemons in a clean, large glass jar with a tight-fitting lid. Add a few coriander seeds, a bay leaf, a dried chili, and a cinnamon stick if you want. (Or a combination of any of them.)"", ""Press the lemons very firmly in the jar to get the juices flowing. Cover and let stand overnight."", ""The next day do the same, pressing the lemons down, encouraging them to release more juice as they start to soften. Repeat for a 2-3 days until the lemons are completely covered with liquid. If your lemons aren't too juicy, add more freshly-squeezed lemon juice until their submerged, as I generally have to do."", ""After one month, when the preserved lemons are soft, they're ready to use. Store the lemons in the refrigerator, where they'll keep for at least 6 months. Rinse before using to remove excess salt."", """", ""To use: Remove lemons from the liquid and rinse. Split in half and scrape out the pulp. Slice the lemon peels into thin strips or cut into small dices. You may wish to press the pulp through a sieve to obtain the flavorful juice, which can be used for flavoring as well, then discard the innards.""]"
Moroccan Chicken ,"[""1 1/2 pounds chicken breasts or thighs"", ""1/4 cup olive oil"", ""1 teaspoon salt"", ""1 teaspoon sugar"", ""3 garlic minced"", ""2 teaspoons paprika"", ""1 teaspoon cumin"", ""1/2 teaspoon coriander"", ""1/2 teaspoon ginger"", ""1/4 teaspoon turmeric"", ""1/4 teaspoon cinnamon"", ""1/8 teaspoon cayenne pepper""]","[""Place chicken breasts between 2 pieces of wax or parchment paper and, using a meat mallet, pound to an even 1/2-inch thickness. (Skip this step if substituting chicken tenderloins.)"", ""or cut the chicken breasts in half."", ""Mix all ingredients except chicken together in a small bowl or measuring cup. Place pounded chicken breasts inside 1 gallon zip-lock bag. Add marinade to the bag, press air out and seal shut. Massage marinade into the breasts until evenly coated. Place the bag in a bowl in the refrigerator (to protect against leakage), and let the chicken marinate for 5-6 hours."", ""Clean grill and preheat to high. Place chicken breasts on grill, spooning marinade over top. Grill, covered, for 2-3 minutes per side. Do not overcoo""]"
Moroccan Lamb And Coucous Stew ,"[""2 Tbsp Olive Oil"", ""2.2 lb Cubed Lamb"", ""2 Spanish Onions, Choppped"", ""4 Cloves Garlic, Crushed"", ""2 Tbsp Ground Coriander"", ""2 Tbsp Ground Cumin"", ""1 Tsp Chili Powder"", ""2 Tsp Sweet Paprika"", ""28 oz Crushed or Chopped Tomatoes"", ""2 Medium Carrots, Chopped"", ""1 Sweet Potato, Chopped"", ""1 Cup Green Beans or Broccoli Florets"", ""2, 15 oz. Cans Chickpeas"", ""34 oz. Chicken Stock"", ""3.5 oz. Couscous"", ""1 Bunch Parsley, Chopped"", ""1 Bunch Mint, Chopped"", ""2 Lemons"", ""Yogurt to Serve""]","[""In a large pot, heat oil and saute onions until soft. Add garlic, spices, cook til fragrant. Add Lamb, stir, and tomatoes and stock. Bring to a simmer, cover, cook gently about one hour."", """", ""Add veggies, and if needed water until all covered. Cook gently 45 minutes."", """", ""Add chickpeas, stir. Add couscous and peas (or broccoli), let sit 5 minutes until tender and warm. Stir through herbs, serve with a dollop of yogurt.""]"
"Moroccan-Spiced Lamb Burgers With Beet, Red Onion, And Orange Salsa ","[""2 tablespoons olive oil"", ""2 tablespoons fresh lemon juice"", ""1 tablespoon honey"", ""2 beets, boiled, peeled, cut into 1/3-inch cubes"", ""1 large orange, peel and pith cut away, flesh cut into 1/3-inch cubes"", ""1 cup chopped red onion"", ""1/4 cup chopped pitted green Greek olives"", ""1 large shallot, minced"", ""2 tablespoons chopped fresh cilantro"", ""1 jalapeno chile, seeded, minced"", ""1 garlic clove, minced"", ""1 1/4 teaspoons salt"", ""3/4 teaspoon ground black pepper"", ""1/2 teaspoon paprika"", ""1/2 teaspoon ground cumin"", ""1 3/4 pounds ground lamb"", ""Nonstick vegetable oil spray"", ""4 large cracked-wheat hamburger buns, split horizontally"", ""1 1/3 cups thinly sliced Bibb lettuce"", ""Mayonnaise""]","[""Whisk first 3 ingredients in medium bowl to blend. Mix in next 4 ingredients. Season salsa to taste with salt and pepper."", ""Do ahead:"", ""Stir shallot, cilantro, jalapeno, garlic, salt, black pepper, paprika, and cumin in large bowl to blend. Add lamb and mix gently to combine. Shape mixture into four 1/2-inch-thick patties. Arrange on small baking sheet."", ""Do ahead:"", ""Spray grill rack with nonstick spray and prepare barbecue (medium-high heat). Grill buns, cut side down, until golden, about 2 minutes; transfer to work surface. Place lettuce and large spoonful of salsa on each bun bottom. Grill burgers until slightly charred and cooked to desired doneness, about 4 minutes per side for medium-rare. Place 1 burger on each bun. Top each with mayonnaise and bun top. Serve with remaining salsa.""]"
Moroccan Chicken Skewers ,"[""Marinade"", ""AAA\t3 tbsp sweet paprika"", ""AAA\t1 tbsp ground cumin"", ""AAA\t3/4 tsp ground ginger"", ""AAA\t1 tbsp finely chopped garlic"", ""AAA\t3 tbsp coarsely chopped thyme"", ""AAA\t1 1/2 tbsp chopped flat-leaf parsley"", ""AAA\t1 tbsp coarsely chopped cilantro"", ""AAA\t1 1/2 cups extra virgin olive oil"", ""Chicken"", ""AAA6 boneless, skinless chicken breasts"", ""AAAKosher salt and freshly ground black pepper"", ""Vinaigrette"", ""AAA1/4 cup finely diced preserved lemon rind (see recipe above for Preserved Lemons)"", ""AAA1/4 cup plus 3 tbsp extra virgin olive oil"", ""AAA2 1/2 tbsp finely chopped flat-leaf parsley"", ""AAA1 tbsp fresh lime juice""]","[""Marinade"", ""1.\tMix all the ingredients in a large bowl."", ""2.\tTrim the chicken breasts of excess fat."", ""3.\tRemove the tenders and reserve for another use."", ""4.\tCut the meat into 1 1/2-inch pieces."", ""5.\tAdd the chicken to the marinade and refrigerate for at least 6 hours, or as long as overnight."", ""Vinaigrette"", ""1.\tWhisk all the ingredients together. Set aside."", ""Chicken"", ""1.\tSoak 6 long wooden skewers in cold water for 30 minutes."", ""2.\tLift several pieces of the chicken at a time from the marinade and squeeze them over the bowl to drain the extra marinade."", ""3.\tSkewer the chicken, leaving 1/4 inch between the pieces to allow all sides of the chicken to cook evenly."", ""4.\tSeason the chicken lightly with salt and pepper."", ""5.\tPreheat grill to medium-high heat."", ""6.\tPlace the skewers on the grill and cook for 2 to 3 minutes without moving them, to mark the chicken."", ""7.\tTurn the skewers 90 degrees to mark with a crosshatch pattern and grill for another 1 minute. The marks should be well browned but not burnt."", ""8.\tTurn the skewers over and cookAA for about 2 minutes to finish cooking the chicken."", ""9.\tCarefully remove the chicken from the skewers and place in a bowl."", ""10.\tToss with a light coating of the vinaigrette, and serve the extra vinaigrette on the side.""]"
Moroccan Beef Kabobs ,"[""1 cup chopped fresh parsley"", ""1 cup chopped fresh cilantro"", ""1/4 cup grated onion"", ""3 tablespoons lemon juice"", ""2 tablespoons olive oil"", ""1 tablespoon ground cumin"", ""1 tablespoon ground coriander"", ""1 tablespoon paprika"", ""1 tablespoon cider vinegar"", ""1 tablespoon ketchup"", ""2 garlic cloves, minced"", ""1 teaspoon minced fresh gingerroot"", ""1 teaspoon Thai red chili paste"", ""1 Dash salt and pepper"", ""2 pounds beef top sirloin steak, cut into 1-inch pieces""]","[""1.\tIn a large resealable plastic bag, combine the parsley, cilantro, onion, lemon juice, oil, cumin, coriander, paprika, vinegar, ketchup, garlic, ginger, chili paste, salt and pepper; add beef. Seal bag and turn to coat; refrigerate for 8 hours or overnight."", """", ""2.\tDrain and discard marinade. On eight metal or soaked wooden skewers, thread beef cubes. Moisten a paper towel with cooking oil; using long-handled tongs, lightly coat the grill rack."", """", ""3.\tGrill beef, covered, over medium-hot heat or broil 4 in. from the heat for 8-12 minutes or until meat reaches desired doneness, turning occasionally. Yield: 8 servings."", """", ""4.\t1 kabob equals 185 calories, 9 g fat (3 g saturated fat), 63 mg cholesterol, 91 mg sodium, 3 g carbohydrate, 1 g fiber, 22 g protein. Diabetic Exchanges: 3 lean meat, 1/2 fat.""]"
