title,description,ingredients,directions,total_time,instructions_list
Moroccan-Style Stuffed Acorn Squash,"Vegetables, garbanzos, raisins and couscous in a lovely Moroccan broth taste delicious inside butter and brown sugar-brushed acorn squash. You can experiment with different vegetables, or add diced chicken. Feel free to be creative with your amounts - I usually freestyle and end up with leftover stuffing mixture, which tastes great on its own the next day. For vegetarians, substitute vegetable broth for the chicken broth.","2 tablespoons brown sugar ; 1 tablespoon butter, melted ; 2 large acorn squash, halved and seeded ; 2 tablespoons olive oil ; 2 cloves garlic, chopped ; 2 stalks celery, chopped ; 2  carrots, chopped ; 1 cup garbanzo beans, drained ; ½ cup raisins ; 1 ½ tablespoons ground cumin ;   salt and pepper to taste ; 1 (14 ounce) can chicken broth ; 1 cup uncooked couscous","Preheat oven to 350 degrees F (175 degrees C). Arrange squash halves cut side down on a baking sheet. Bake 30 minutes, or until tender. Dissolve the sugar in the melted butter. Brush squash with the butter mixture, and keep squash warm while preparing the stuffing. Heat the olive oil in a skillet over medium heat. Stir in the garlic, celery, and carrots, and cook 5 minutes. Mix in the garbanzo beans and raisins. Season with cumin, salt, and pepper, and continue to cook and stir until vegetables are tender. Pour the chicken broth into the skillet, and mix in the couscous. Cover skillet, and turn off heat. Allow couscous to absorb liquid for 5 minutes. Stuff squash halves with the skillet mixture to serve.",1 hr,"['Preheat the oven to 350 degrees F (175 degrees C).', 'Arrange squash halves cut-side down on a baking sheet. Bake until tender, about 30 minutes.', 'Dissolve sugar in melted butter. Brush squash with butter mixture; keep squash warm while preparing stuffing.', 'Heat olive oil in a skillet over medium heat. Stir in garlic, celery, and carrots; cook for 5 minutes. Mix in garbanzo beans and raisins. Season with cumin, salt, and pepper. Continue to cook and stir until vegetables are tender.', 'Pour chicken broth into the skillet, then mix in couscous. Cover the skillet and turn off heat. Allow couscous to absorb liquid for 5 minutes.', 'Stuff squash halves with the skillet mixture and serve.']"
Moroccan Spicy Carrot Salad,"Carrots are cut into thin, round pieces and cooked with the spices.","1 pound carrots, peeled and sliced into thin rounds ; 2 cups water ; 2 cloves garlic, minced ; 2 tablespoons olive oil ; ½ teaspoon sweet paprika ; 1 pinch cayenne pepper, or to taste ;   salt and ground black pepper to taste ; 1 tablespoon wine vinegar ; ½ teaspoon ground cumin ; ¼ cup cilantro leaves","Combine carrots, water, garlic, olive oil, paprika, cayenne pepper, salt, and black pepper in a shallow pan; bring to a boil over medium-high heat and cook until carrots are tender and water evaporates, about 20 minutes. Stir vinegar and cumin through the carrot mixture. Remove the pan from heat and set aside to allow salad to cool to room temperature. Garnish with cilantro to serve.",1 hr 5 mins,
Moroccan Cooked Pepper Salad,A tasty cooked salad with tomatoes and green peppers. It's good warm or cold.,"2  green bell peppers ; 3 tablespoons olive oil ; 4  fresh tomatoes, peeled and chopped ; 2 teaspoons sugar ; 1 ½ teaspoons paprika ; 1 teaspoon fresh parsley ; ½ teaspoon cumin ; ½ teaspoon salt ; ¼ teaspoon garlic powder ;   ground black pepper to taste ; 1 (2.25 ounce) can sliced green olives","Preheat the oven broiler. Place the green bell peppers on a baking sheet, and broil, turning occasionally, 5 minutes, or until tender and scorched on all sides. Remove from heat, peel, and chop. Heat the olive oil in a skillet, and mix in the peppers and tomatoes. Stir in sugar. Season with paprika, parsley, cumin, salt, garlic powder, and pepper. Continue cooking until tomatoes are heated through. Serve topped with olives.",30 mins,"['Preheat the oven broiler.', 'Place the green bell peppers on a baking sheet, and broil, turning occasionally, 5 minutes, or until tender and scorched on all sides. Remove from heat, peel, and chop.', 'Heat the olive oil in a skillet, and mix in the peppers and tomatoes. Stir in sugar. Season with paprika, parsley, cumin, salt, garlic powder, and pepper. Continue cooking until tomatoes are heated through. Serve topped with olives.']"
Moroccan Lentil Salad,"A quick, colorful and spicy protein-rich salad or side dish","½ cup dry lentils ; 1 ½ cups water ; ½ (15 ounce) can garbanzo beans, drained ; 2  tomatoes, chopped ; 4  green onions, chopped ; 2  minced hot green chile peppers ; 1  green bell pepper, chopped ; ½  yellow bell pepper, chopped ; 1  red bell pepper, chopped ; 1  lime, juiced ; 2 tablespoons olive oil ; ¼ cup chopped fresh cilantro ;   salt to taste","Place lentils and water in a pot. Bring water to boil, reduce to simmer. Cook for 30 minutes or until tender. In a medium size mixing bowl combine lentils, chickpeas, tomatoes, green onions, green chilies, bell peppers, lime juice, olive oil, cilantro, and salt to taste. Toss well. Chill for 20 minutes. Serve chilled.",,
Moroccan Chickpea Stew,This recipe came to be as a way to use the kale that was flourishing in my garden. It could also incorporate all kinds of other vegetables - whatever is in your fridge that needs to be used. Serve over couscous.,"1 tablespoon olive oil ; 1 small onion, chopped ; 2 cloves garlic, minced ; 2 teaspoons ground cumin ; 2 teaspoons ground coriander ; ½ teaspoon cayenne pepper, or to taste ; 1 teaspoon garam masala ; ½ teaspoon curry powder ; 1 pinch salt ; 3  potatoes, cut into 1/2-inch cubes ; 1 (14.5 ounce) can diced tomatoes, undrained ; 1 cup tomato sauce ; 1 cup golden raisins ;   water, or enough to cover ; 1 (14.5 ounce) can chickpeas, drained and rinsed ; 1 bunch kale, ribs removed, chopped ; ½ cup chopped fresh cilantro","Heat the olive oil in a large pot over medium heat; cook the onion and garlic in the hot oil until the onions are translucent, 5 to 7 minutes. Stir the cumin, coriander, cayenne pepper, garam masala, curry powder, and salt into the onion and garlic; cook together until fragrant, about 1 minute. Add the potatoes, diced tomatoes, tomato sauce, and raisins to the pot. Pour enough water over the mixture to cover; bring to a simmer and cook until the potatoes are soft, 10 to 15 minutes. Add the chickpeas and kale to the pot; simmer until the kale wilts, about 3 minutes. Sprinkle the cilantro over the stew and immediately remove the pot from the heat.",40 mins,"['Heat the olive oil in a large pot over medium heat; cook the onion and garlic in the hot oil until the onions are translucent, 5 to 7 minutes. Stir the cumin, coriander, cayenne pepper, garam masala, curry powder, and salt into the onion and garlic; cook together until fragrant, about 1 minute. Add the potatoes, diced tomatoes, tomato sauce, and raisins to the pot. Pour enough water over the mixture to cover; bring to a simmer and cook until the potatoes are soft, 10 to 15 minutes.', 'Add the chickpeas and kale to the pot; simmer until the kale wilts, about 3 minutes. Sprinkle the cilantro over the stew and immediately remove the pot from the heat.']"
Instant Pot® Chicken Tagine with Apricots and Chickpeas,"In this dish, the Instant Pot® is used to create a dish reminiscent of a slowly braised stew in a traditional clay tagine. It's a sweet-and-savory, highly flavorful combo that will take you back to your Moroccan trip or inspire you to start planning for that Sahara camel-trek. Chicken is cooked until tender with onions, garlic, turmeric, ginger, and cinnamon. Apricots steep in the broth. Serve with rice or couscous and Greek yogurt.","1 tablespoon olive oil ; 4  skin-on, bone-in chicken thighs ; 1 large onion, sliced ; 3 cloves garlic, minced ; 1 teaspoon ground cinnamon ; 1 teaspoon ground cumin ; 1 teaspoon ground turmeric ; 1 teaspoon red pepper flakes ; 1 pinch saffron ; 1 (15 ounce) can diced tomatoes ; 1 cup chicken broth ; ⅓ cup halved dried apricots ;   salt and ground black pepper to taste ; 1 (15 ounce) can chickpeas, rinsed and drained ; 2 tablespoons chopped fresh mint","Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Place olive oil in the hot cooker and fry chicken thighs until browned, 2 to 3 minutes per side. Remove chicken from the inner pot and set aside. Add onion and garlic to the pot, followed by cinnamon, cumin, turmeric, red pepper flakes, and saffron. Cook and stir until onion is soft, about 5 minutes. Press Cancel to leave Saute mode. Place chicken back into the pot on top of onion mixture. Pour in tomatoes and chicken broth. Sprinkle apricots over the top. Season with salt and pepper. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 15 minutes. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Stir in chickpeas and mint leaves.",1 hr,"['Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Place olive oil in the hot cooker and fry chicken thighs until browned, 2 to 3 minutes per side. Remove chicken from the inner pot and set aside.', 'Add onion and garlic to the pot, followed by cinnamon, cumin, turmeric, red pepper flakes, and saffron. Cook and stir until onion is soft, about 5 minutes. Press Cancel to leave Saute mode.', 'Place chicken back into the pot on top of onion mixture. Pour in tomatoes and chicken broth. Sprinkle apricots over the top. Season with salt and pepper. Close and lock the lid.', ""Select high pressure according to manufacturer's instructions; set timer for 15 minutes. Allow 10 to 15 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Stir in chickpeas and mint leaves.""]"
Sweet and Nutty Moroccan Couscous,I've simplified this recipe for Couscous Mesfouf without losing any of its deliciously complex flavor. Prepare all the mix-ins ahead of time and it takes only minutes to make. Enjoy!,"2 cups vegetable broth ; 5 tablespoons unsalted butter ; ⅓ cup chopped dates ; ⅓ cup chopped dried apricots ; ⅓ cup golden raisins ; 2 cups dry couscous ; 3 teaspoons ground cinnamon ; ½ cup slivered almonds, toasted","Pour the vegetable broth into a large saucepan, and bring to a boil. Add the butter, apricots, dates and raisins. Boil for 2 to 3 minutes. Remove from the heat, and stir in the couscous. Cover, and let stand for 5 minutes. Stir in the cinnamon and toasted almonds, and serve.",20 mins,"['Pour the vegetable broth into a large saucepan, and bring to a boil. Add the butter, apricots, dates and raisins. Boil for 2 to 3 minutes. Remove from the heat, and stir in the couscous. Cover, and let stand for 5 minutes. Stir in the cinnamon and toasted almonds, and serve.']"
Moroccan Beef and Lentil Stew,A flavorful beef and lentil stew inspired by the tastes of Morocco. Great served over rice.,"2 tablespoons vegetable oil ; 2 carrot, (7-1/2"")s carrots, chopped ; 1  celery stalk, chopped ; 1  onion, chopped ; 4 cloves garlic, minced ; 1 ½ pounds chuck roast, cut into 1-inch cubes ; 1 teaspoon salt, or to taste ; 1 teaspoon ground turmeric ; 1 teaspoon onion powder ; 1 teaspoon garlic powder ; ½ teaspoon ground black pepper, or to taste ; ½ teaspoon ground cinnamon ; ½ teaspoon ground ginger ; ½ teaspoon ground cumin ; ½ teaspoon ground coriander ; ¼ teaspoon ground allspice ; 3 tablespoons tomato paste ; 4 cups low-sodium beef broth ; 1 tablespoon molasses ; 2 leaf (blank)s bay leaves ; 1 cup dried red lentils ; ½ cup dried apricots, chopped ; ½  lemon, juiced","Heat oil over medium heat in a Dutch oven. Add carrots, celery, and onion; cook until slightly softened, about 3 minutes. Stir in garlic and cook for 1 minute. Add beef. Sprinkle salt, turmeric, onion powder, garlic powder, pepper, cinnamon, ginger, cumin, coriander, and allspice over beef and vegetables. Stir to mix. Continue to cook mixture until beef is browned, stirring occasionally, about 5 minutes. Stir in tomato paste until well combined and cook for 1 minute. Add in beef broth, molasses, and bay leaves. Bring stew to a simmer. Reduce heat to low, cover, and cook, stirring occasionally, until beef is tender, about 50 minutes. Mix in lentils and dried apricots. Bring stew back to a simmer. Cover and continue to cook on low, stirring occasionally, until lentils soften, about 15 minutes. Remove and discard bay leaves. Adjust salt and pepper to taste, and mix in fresh lemon juice to taste just before serving.",1 hr 35 mins,"['Heat oil in a Dutch oven over medium heat. Add carrots, celery, and onion; cook until slightly softened, about 3 minutes. Stir in garlic and cook for 1 minute.', 'Add beef. Sprinkle salt, turmeric, onion powder, garlic powder, pepper, cinnamon, ginger, cumin, coriander, and allspice over beef and vegetables. Stir to mix. Continue to cook, stirring occasionally, until beef is browned, about 5 minutes.', 'Stir in tomato paste until combined and cook for 1 minute. Add beef broth, molasses, and bay leaves. Bring stew to a simmer. Reduce heat to low, cover, and cook, stirring occasionally, until beef is tender, about 50 minutes.', 'Mix in lentils and dried apricots. Bring stew back to a simmer. Cover and cook on low, stirring occasionally, until lentils soften, about 15 minutes. Remove and discard bay leaves. Adjust salt and pepper; mix in fresh lemon juice just before serving.']"
Instant Pot® Chicken Tagine with Butternut Squash and Spinach,"Butternut squash, chicken thighs, spinach, and spices are thrown together and cooked quickly and easily in an Instant Pot® in this Moroccan-inspired chicken tagine.","4 tablespoons extra-virgin olive oil, divided ; 3 ½ teaspoons kosher salt, divided ; 2 teaspoons ground cinnamon ; 2 teaspoons ground cumin ; 2 teaspoons sweet paprika ; 1 teaspoon ground coriander ; ½ teaspoon ground black pepper ; 1 ½ pounds skinless, boneless chicken thighs, trimmed and cut into 1 1/2-inch pieces ; 1 large yellow onion, thinly sliced lengthwise ; 4 cloves garlic, smashed ; 4 teaspoons finely grated fresh ginger ; 2 ½ cups water ; 2 cups peeled and cubed (3/4-inch) butternut squash ; 1 (14.5 ounce) can diced tomatoes in juice ; 1 (5 ounce) package baby spinach leaves ; 3 tablespoons lemon juice ; 2 teaspoons lemon zest ;   salt and ground black pepper to taste","Stir 2 tablespoons oil, 2 1/2 teaspoons kosher salt, cinnamon, cumin, paprika, coriander, and 1/2 teaspoon black pepper together in a small bowl to form a paste. Toss 1 tablespoon paste with chicken in a medium bowl. Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Heat remaining oil until shimmering, about 1 minute. Add onion and 1 teaspoon kosher salt; cook, stirring occasionally, until softened, about 6 minutes. Stir in remaining spice paste, garlic, and ginger. Cook, stirring constantly, until fragrant, 30 seconds to 1 minute. Stir in water, scraping up any browned bits from the bottom using a wooden spoon. Add butternut squash, tomatoes with their juices, and chicken; stir to combine, then distribute mixture in an even layer. Close and lock the lid and move the pressure valve to sealing. Select high pressure according to manufacturer's instructions; set timer for 3 minutes. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to manufacturer's instructions for 10 minutes. Release remaining pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Stir spinach into the pot and cover without locking the lid into place. Let stand until spinach wilts, about 3 minutes. Stir in lemon juice and zest; taste, and season with salt and pepper.",55 mins,"['Stir 2 tablespoons oil, 2 1/2 teaspoons kosher salt, cinnamon, cumin, paprika, coriander, and 1/2 teaspoon black pepper together in a small bowl to form a paste. Toss 1 tablespoon paste with chicken in a medium bowl.', 'Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Heat remaining oil until shimmering, about 1 minute. Add onion and 1 teaspoon kosher salt; cook, stirring occasionally, until softened, about 6 minutes.', ""Stir in remaining spice paste, garlic, and ginger. Cook, stirring constantly, until fragrant, 30 seconds to 1 minute. Stir in water, scraping up any browned bits from the bottom using a wooden spoon. Add butternut squash, tomatoes with their juices, and chicken; stir to combine, then distribute mixture in an even layer. Close and lock the lid and move the pressure valve to sealing. Select high pressure according to manufacturer's instructions; set timer for 3 minutes. Allow 10 to 15 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions for 10 minutes. Release remaining pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid."", 'Stir spinach into the pot and cover without locking the lid into place. Let stand until spinach wilts, about 3 minutes. Stir in lemon juice and zest; taste, and season with salt and pepper.']"
Moroccan Chicken Tagine,Sweet and savory stewed chicken with dried fruits and exotic spices. Serve this on top of couscous and top with toasted almonds and fresh cilantro. Children love the familiarity of the 'sweet' spices and dried fruits.,"¼ cup ground cinnamon ; ¼ cup ground cumin ; 2 tablespoons ground turmeric ; 2 tablespoons ground coriander ; 2 tablespoons ground ginger ; 2 tablespoons crushed dried mint ; 1 tablespoon salt ; 2 teaspoons ground black pepper ; ½ cup chopped dried apricots ; ¼ cup raisins ; ¼ cup olive oil, or as needed ; 4  bone-in chicken thighs ; ½ small onion, minced ; 2 teaspoons chopped garlic ; 1 cup chicken broth ; ¼ cup honey ; ½ bunch fresh cilantro, chopped ; ¼ cup toasted sliced almonds","Mix cinnamon, cumin, turmeric, coriander, ginger, mint, salt, and pepper together in a bowl. Measure out 1/2 cup spice mix and set the remaining aside for another use. Bring a small pot of water to a boil; add apricots and raisins. Cook until fruit is soft, about 5 minutes. Drain, reserving 1/2 cup of cooking water. Pour enough olive oil into a large skillet or Dutch oven to coat the bottom; turn heat to medium. Coat chicken with the 1/2 cup spice mix and place in the hot oil; cook until golden brown and releases easily from the skillet, 3 to 4 minutes per side. Mix onion and garlic into skillet with chicken; cook and stir until fragrant, 2 to 3 minutes. Add apricots, raisins, reserved 1/2 cup water from fruit, chicken broth, and honey; reduce heat to low and cover. Cook until chicken is very tender, 1 1/2 to 2 hours. Serve chicken garnished with cilantro and almonds.",2 hrs 6 mins,"['Make the spice mix: Mix cinnamon, cumin, turmeric, coriander, ginger, mint, salt, and pepper together in a bowl. Measure out 1/2 cup spice mix and set remaining mix aside for another use.', 'Make the tagine: Bring a small pot of water to a boil. Add apricots and raisins and cook until soft, about 5 minutes. Drain, reserving 1/2 cup cooking water.', 'Place chicken and 1/2 cup reserved spice mix into a bowl; toss until thoroughly coated.', 'Pour enough olive oil into a large skillet or Dutch oven to coat the bottom; turn heat to medium. Cook chicken in the hot skillet until golden brown and it releases easily from the skillet, 3 to 4 minutes per side. Add onion and garlic; cook and stir until fragrant, 2 to 3 minutes.', 'Add apricots, raisins, and reserved 1/2 cup cooking water; stir in chicken broth and honey. Cover, reduce the heat to low, and cook until chicken is very tender, 1 1/2 to 2 hours.', 'Serve chicken garnished with cilantro and almonds.']"
"Moroccan Chicken Tagine with Preserved Lemons, Fennel, Olives, and Harissa","Great spicy, exotic chicken dish. I created this mashup of several recipes to inaugurate my new tagine, but I think any skillet, loosely covered, should work. Serve over couscous.","1 teaspoon ground paprika ; 1 teaspoon ground cumin ; 1 teaspoon salt ; ½ teaspoon ground cayenne ; ½ teaspoon ground cinnamon ; ½ teaspoon ground turmeric ;   ground black pepper ; 4 (6 ounce) bone-in chicken thighs, skin removed ; 2 tablespoons olive oil ; 1  fennel bulb, trimmed and thinly sliced ; 1 large red onion, thinly sliced ; 3 cloves garlic, minced, or more to taste ; 1 (15 ounce) can garbanzo beans, drained, divided ; 1 cup chicken broth ; 1 cup pitted green olives, divided ; 3 tablespoons harissa, or to taste ; ½  preserved lemon, thinly sliced, divided ; 1 teaspoon grated ginger root  (Optional); 5  cherry tomatoes, halved, or more to taste ; ¼ cup toasted almonds","Mix paprika, cumin, salt, cayenne, cinnamon, turmeric, and black pepper together in a small bowl. Pat chicken thighs dry and place them in a resealable plastic bag. Sprinkle paprika mixture over chicken thighs; massage the bag to coat chicken evenly. Heat oil in a tagine over medium heat. Add chicken; cook until browned, 2 to 4 minutes per side. Transfer to a plate. Cook and stir fennel, onion, and garlic in the tagine. Stir in half of the garbanzo beans, chicken broth, 1/2 cup green olives, harissa, 1/2 of the preserved lemon, and ginger. Lay chicken over garbanzo bean mixture; sprinkle remaining olives on top. Scatter cherry tomatoes on top. Cover and simmer over medium-low heat until chicken is tender, 45 minutes to 1 hour. Combine remaining garbanzo beans with 2 tablespoons of broth from the tagine in a food processor or blender; blend into a thin paste. Transfer chicken to a serving dish. Stir garbanzo bean paste into the tagine. Simmer until flavors combine, about 5 minutes. Spoon broth mixture over chicken. Garnish with remaining preserved lemon and toasted almonds.",1 hr 24 mins,
Moroccan Lentil Soup with Veggies,"My family and I have been trying to eat healthy, so I started adding veggies to all my soups. This recipe is easy to make, fun, and delicious. You can modify it in many ways; add your own favorite cooking oil, as well as your own greens. Serve with toasted rosemary bread. Yum!","¼ cup olive oil ; 4 large carrots, chopped ; 1 large white onion, finely chopped ; 2 teaspoons kosher salt ; 2 teaspoons chopped fresh parsley ; 1 teaspoon ground black pepper ; ½ teaspoon ground ginger ; ½ teaspoon dried tarragon ; ½ teaspoon cumin ; 1 (16 ounce) package dry lentils ; 1 cup crushed tomatoes ; 2 quarts vegetable broth ; 1 (10 ounce) package spinach ; 1 large zucchini, cut into small pieces ; 1 pinch salt to taste ; 1 teaspoon olive oil, or to taste","Heat 1/4 cup olive oil in a large pot over medium heat. Cook and stir carrots, onion, salt, parsley, black pepper, ginger, tarragon, and cumin in the hot oil until the onion is translucent, 5 to 7 minutes. Stir lentils and tomatoes into the carrot mixture. Pour vegetable broth over the vegetables, stir, and bring to a boil. Reduce heat to low, place a cover on the pot, and simmer until the lentils are tender, 45 to 50 minutes. Stir spinach and zucchini into the broth mixture; simmer until the zucchini is tender, about 7 minutes more. Remove pot from heat and season soup with salt. Drizzle 1 teaspoon olive oil over the soup before serving.",1 hr 15 mins,"['Heat 1/4 cup olive oil in a large pot over medium heat. Cook and stir carrots, onion, salt, parsley, black pepper, ginger, tarragon, and cumin in the hot oil until the onion is translucent, 5 to 7 minutes.', 'Stir lentils and tomatoes into the carrot mixture. Pour vegetable broth over the vegetables, stir, and bring to a boil. Reduce heat to low, place a cover on the pot, and simmer until the lentils are tender, 45 to 50 minutes.', 'Stir spinach and zucchini into the broth mixture; simmer until the zucchini is tender, about 7 minutes more. Remove pot from heat and season soup with salt. Drizzle 1 teaspoon olive oil over the soup before serving.']"
Moroccan Harira (Bean Soup),"A (mostly) vegetarian, shoestring-budget meal that will leave you feeling both very satisfied and with tons of leftovers. Bonus: it's super-healthy and easy to prepare.","6 cups beef stock ; 1 cup dry lentils ; 1 tablespoon olive oil, or to taste ; 1  onion, chopped ; 1  cinnamon stick ; 1 teaspoon minced fresh ginger root ; 1 teaspoon ground turmeric ; 1 teaspoon ground cumin ; 1 teaspoon ground black pepper ; 1 (15 ounce) can garbanzo beans, drained ; 1 (15 ounce) can red kidney beans, rinsed and drained ; 1 (14 ounce) can diced tomatoes ; 1 cup cooked quinoa  (Optional); 1 bunch flat-leaf parsley leaves and thinner stems, chopped ; 1 bunch cilantro leaves and thinner stems, chopped ; 1  lemon, or to taste, juiced","Stir beef stock and lentils together in a large pot; bring to a boil, reduce heat to low, and keep at a simmer while preparing onion. Heat olive oil in a skillet over medium heat. Cook and stir onion, cinnamon stick, ginger, turmeric, cumin, and black pepper in the hot oil until the onion is translucent, about 5 minutes; add to stock mixture. Pour garbanzo beans, kidney beans, tomatoes, and quinoa into the stock mixture; stir and bring mixture to a boil. Stir parsley and cilantro into the stock mixture; reduce heat to low and cook mixture at a simmer until the lentils are tender, about 45 minutes. Drizzle lemon juice over the soup before serving.",1 hr 15 mins,"['Stir beef stock and lentils together in a large pot; bring to a boil, reduce heat to low, and keep at a simmer while preparing onion.', 'Heat olive oil in a skillet over medium heat. Cook and stir onion, cinnamon stick, ginger, turmeric, cumin, and black pepper in the hot oil until the onion is translucent, about 5 minutes; add to stock mixture.', 'Pour garbanzo beans, kidney beans, tomatoes, and quinoa into the stock mixture; stir and bring mixture to a boil. Stir parsley and cilantro into the stock mixture; reduce heat to low and cook mixture at a simmer until the lentils are tender, about 45 minutes. Drizzle lemon juice over the soup before serving.']"
Make-Ahead Moroccan Lamb Stew,"Inspired by the wonderful spices and flavors used in Moroccan cuisine, this wonderful stew is a hearty one-dish meal. We like to double the recipe and freeze one portion for later. You can also save time, by combining all of these Moroccan spices in bulk and having the mixture on hand to use in this stew recipe, as well as others, like lamb burgers, grilled salmon, and meat rubs. We typically serve the stew with warm bread and a salad.","1 teaspoon ground cinnamon ; 1 teaspoon ground cumin ; ½ teaspoon ground ginger ; ¼ teaspoon ground cloves ; ¼ teaspoon ground nutmeg ; ¼ teaspoon ground turmeric ; ⅛ teaspoon curry powder ; 1 teaspoon kosher salt ; 1 pound ground lamb ; 1 tablespoon butter ; 1  sweet onion, chopped ; 1 (14.5 ounce) can organic beef broth ; 1 (14.5 ounce) can organic chicken broth ; 2 (14.5 ounce) cans beef consomme ; 1 (14.5 ounce) can diced tomatoes, undrained ; 1 tablespoon honey ; 3 large carrots, chopped ; 2  sweet potatoes, peeled and diced ; 1 (15 ounce) can garbanzo beans, drained and rinsed ; ½ cup chopped dried apricots ; 1 cup dried lentils, rinsed ;   ground black pepper, to taste","Combine cinnamon, cumin, ginger, cloves, nutmeg, turmeric, curry powder, and salt in a large bowl. Mix in the ground lamb. For most flavorful results, allow mixture to rest, refrigerated, overnight. Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Mix the spiced lamb mixture to the onions. Cook and stir until meat is browned, about 5 minutes. Pour the beef broth, chicken broth, and consomme into the pot.  Stir in the tomatoes, honey, carrots, sweet potatoes, garbanzo beans, dried apricots and lentils. Bring to boil; reduce heat to low. Simmer stew for 30 minutes or until the vegetables and lentils are cooked and tender. Season with black pepper to taste.",1 hr 20 mins,"['Combine cinnamon, cumin, ginger, cloves, nutmeg, turmeric, curry powder, and salt in a large bowl. Mix in the ground lamb. For most flavorful results, allow mixture to rest, refrigerated, overnight.', 'Melt butter in a large pot over medium heat. Cook the onion in the butter until soft and just beginning to brown, 5 to 10 minutes. Mix the spiced lamb mixture to the onions. Cook and stir until meat is browned, about 5 minutes.', 'Pour the beef broth, chicken broth, and consomme into the pot. Stir in the tomatoes, honey, carrots, sweet potatoes, garbanzo beans, dried apricots and lentils. Bring to boil; reduce heat to low.', 'Simmer stew for 30 minutes or until the vegetables and lentils are cooked and tender. Season with black pepper to taste.']"
Slow Cooker Moroccan Chicken,"Tasty, easy, and impressive!  Serve with couscous or rice.","1 pound skinless, boneless chicken breast halves - cut into 2 inch pieces ; 4 cloves garlic, chopped ; 1 large onion, chopped ; 1 (28 ounce) can diced tomatoes ; 3  fresh peaches - peeled, pitted, and sliced ; 1 (15 ounce) can garbanzo beans, drained ; 1 cup chopped dried apricots ; 2 teaspoons ground cumin ; 1 teaspoon ground ginger ; 1 teaspoon cinnamon ; ½ teaspoon ground coriander ; ½ teaspoon cayenne pepper ; 2 cups chicken broth ; 1 tablespoon cornstarch ; 1 tablespoon water ; 3 tablespoons chopped fresh cilantro ; ⅓ cup slivered almonds, toasted","Place chicken in the bottom of a slow cooker. Add the garlic, onion, tomatoes, peaches, garbanzo beans, dried apricots, cumin, ginger, cinnamon, coriander, and cayenne pepper. Pour in the chicken broth. Cook on Low for 5 hours. Remove the chicken and keep warm. Mix the cornstarch and water in a small bowl. Stir the cornstarch mixture into the slow cooker. Cook on High until the sauce has thickened, about 15 minutes. Return the chicken to the slow cooker and heat through. Top with fresh cilantro and almonds before serving.",5 hrs 30 mins,"['Place chicken in the bottom of a slow cooker. Add the garlic, onion, tomatoes, peaches, garbanzo beans, dried apricots, cumin, ginger, cinnamon, coriander, and cayenne pepper. Pour in the chicken broth. Cook on Low for 5 hours.', 'Remove the chicken and keep warm. Mix the cornstarch and water in a small bowl. Stir the cornstarch mixture into the slow cooker. Cook on High until the sauce has thickened, about 15 minutes. Return the chicken to the slow cooker and heat through. Top with fresh cilantro and almonds before serving.']"
